Metric,Category,n,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type,Reliability_flag
Corr_dim,Fractal/Complexity,18,-0.0,0.0,0.0,0.0,-0.0,0.0,0.19,0.5798,0.9678,4.05,-0.1,0.6095,0.9678,4.1,-0.19,0.3465,0.8946,3.11,0.2111,D,embedding_sensitive
HFD,Fractal/Complexity,18,1.74,0.14,1.76,0.16,1.73,0.17,0.24,0.3038,0.8791,4.01,-0.2,0.6095,0.9678,4.04,-0.37,0.2288,0.8061,1.33,0.5134,D,
KFD,Fractal/Complexity,18,3.08,0.58,3.26,1.01,3.05,0.63,0.28,0.5509,0.9674,3.97,-0.08,0.8317,0.9903,4.1,-0.3,0.2462,0.854,0.78,0.6778,D,
beta_1f,Fractal/Complexity,18,0.81,0.45,0.88,0.41,0.74,0.32,0.17,0.7019,0.9678,4.06,-0.17,0.5509,0.9674,4.06,-0.33,0.2288,0.8061,0.78,0.6778,D,low_reliability_5min
RQA_REC,RQA,18,0.01,0.02,0.01,0.01,0.02,0.02,-0.05,0.796,0.9742,4.11,0.27,0.0684,0.743,3.98,0.27,0.2868,0.8605,3.49,0.1744,D,embedding_sensitive
RQA_DET,RQA,18,41.04,31.99,37.79,32.56,36.53,31.06,-0.08,0.6791,0.9678,4.1,-0.13,0.6701,0.9678,4.08,-0.03,0.6832,0.9678,0.1,0.9528,D,embedding_sensitive
RQA_Lmean,RQA,18,1.87,1.54,1.5,1.13,1.87,1.45,-0.22,0.3104,0.8791,4.03,-0.0,0.8885,0.9903,4.11,0.25,0.2702,0.8605,2.5,0.2865,D,embedding_sensitive
RQA_Lmax,RQA,18,2.33,2.14,1.83,1.65,2.56,2.38,-0.25,0.2617,0.8605,4.0,0.11,0.412,0.9674,4.09,0.35,0.2135,0.7901,2.75,0.2534,D,embedding_sensitive
RQA_DIV,RQA,8,0.34,0.13,0.41,0.12,0.3,0.11,0.64,0.1562,0.743,2.51,-0.61,0.1562,0.743,2.66,-1.12,0.0234,0.6741,,,D,embedding_sensitive
RQA_ShanEn,RQA,18,0.23,0.4,0.18,0.36,0.34,0.43,-0.12,0.5534,0.9674,4.09,0.25,0.3246,0.8791,4.0,0.38,0.1373,0.743,2.53,0.2823,D,embedding_sensitive
RQA_LAM,RQA,18,1.75,7.44,0.0,0.0,6.53,18.11,-0.24,0.3173,0.8791,4.01,0.24,0.2733,0.8605,4.01,0.36,0.1088,0.743,3.5,0.1738,D,embedding_sensitive
RQA_TT,RQA,18,0.11,0.47,0.0,0.0,0.34,0.78,-0.24,0.3173,0.8791,4.01,0.24,0.2568,0.8605,4.01,0.43,0.1025,0.743,3.5,0.1738,D,embedding_sensitive
Symb_0V,Symbolic Dynamics,18,41.29,14.18,39.57,16.95,40.04,14.87,-0.19,0.5226,0.9674,4.05,-0.12,0.6397,0.9678,4.09,0.06,0.7019,0.9678,0.33,0.8465,D,
Symb_1V,Symbolic Dynamics,18,43.4,8.19,43.8,8.4,43.57,8.0,0.08,0.8986,0.9903,4.1,0.03,1.0,1.0,4.11,-0.05,0.7019,0.9678,0.11,0.946,D,
Symb_2LV,Symbolic Dynamics,18,3.21,3.24,3.81,4.0,3.43,2.49,0.26,0.5226,0.9674,3.99,0.1,0.5509,0.9674,4.1,-0.13,0.9323,0.9903,0.11,0.946,D,
Symb_2UV,Symbolic Dynamics,18,12.1,6.95,12.82,8.51,12.96,9.81,0.18,0.5226,0.9674,4.05,0.14,0.766,0.9742,4.08,0.03,0.766,0.9742,0.11,0.946,D,
GI,Irreversibility,18,48.8,4.64,47.99,4.45,48.0,4.75,-0.27,0.3465,0.8946,3.98,-0.22,0.4683,0.9674,4.03,0.0,0.9323,0.9903,1.0,0.6065,D,
PI,Irreversibility,18,47.68,3.63,48.06,3.22,48.02,3.87,0.18,0.3927,0.9477,4.05,0.16,0.6397,0.9678,4.07,-0.02,0.7337,0.9742,0.11,0.946,D,
EIR,Irreversibility,18,0.26,0.18,0.35,0.28,0.27,0.22,0.26,0.6095,0.9678,3.99,0.05,0.7987,0.9742,4.11,-0.2,0.4683,0.9674,1.78,0.4111,D,
