subject,phase,f0_Hz,T_period_s,taumax_sd,taumax_wrap_sd,taumax_wrap_mean,n_windows,ratio_wrap_to_raw
1,Pre,0.09765625,10.24,8.050695090236703,0.687198108456815,2.89791259765625,512,0.08535885420504856
1,Stim,0.09765625,10.24,3.6772195240625773,0.5057113717599087,2.5435703124999995,640,0.13752547772867277
1,Post,0.09765625,10.24,0.23419576760451571,0.23419576760451571,2.4993896484375,512,1.0
2,Pre,0.0859375,11.636363636363637,6.613670365391278,3.457903512329839,0.5227272727272728,512,0.5228418293153415
2,Stim,0.0859375,11.636363636363637,5.6229761628863155,1.7367912216547892,1.357550603693182,640,0.30887401463983466
2,Post,0.0859375,11.636363636363637,0.4297221369509553,0.4297221369509553,1.98760986328125,512,1.0
3,Pre,0.0703125,14.222222222222221,18.00588879399723,3.311700700067628,0.49531385633680625,512,0.18392320079038124
3,Stim,0.0703125,14.222222222222221,5.024826096193284,2.0030490293136305,3.750933159722222,640,0.39863051794590537
3,Post,0.0703125,14.222222222222221,5.124800741147458,5.393787532046046,0.0649278428819442,512,1.052487268185643
4,Pre,0.09765625,10.24,17.71606945180391,2.189426801110639,1.5920727539062494,512,0.12358422995952434
4,Stim,0.09765625,10.24,5.7968300292355135,0.8165762811283365,2.3234101562499996,640,0.14086600383486259
4,Post,0.09765625,10.24,0.18773697362300854,0.18773697362300854,1.89605712890625,512,1.0
5,Pre,0.04296875,23.272727272727273,17.27150299274185,4.894384816403228,-2.244223854758523,512,0.28337920668861516
5,Stim,0.04296875,23.272727272727273,7.252150903408787,4.4426255834085255,-3.586705433238636,640,0.612594200338595
5,Post,0.04296875,23.272727272727273,7.303655181320302,4.60930070052751,-0.30338356711647707,512,0.6310950594047998
6,Pre,0.09375,10.666666666666666,18.863319634535657,2.826363308358604,0.856302897135417,512,0.14983382369156248
6,Stim,0.09375,10.666666666666666,2.3968345541868645,0.5196744073007354,2.3640950520833335,640,0.21681697069701877
6,Post,0.09375,10.666666666666666,4.156541827931388,0.46949424908764914,2.6849161783854165,512,0.11295309142150634
7,Pre,0.140625,7.111111111111111,13.01452560338349,2.474211953881636,-0.4706827799479164,512,0.19011157450398308
7,Stim,0.140625,7.111111111111111,8.986812636960314,1.266931342822388,0.3642849392361112,640,0.14097671710789256
7,Post,0.140625,7.111111111111111,3.806949718315906,0.5846004396655953,0.6288926866319444,512,0.15356137667197955
8,Pre,0.09765625,10.24,9.809733659118217,2.4206506785274224,2.393840332031251,512,0.24676008163355284
8,Stim,0.09765625,10.24,7.329782731091912,0.8744482468067549,1.9737734375000002,640,0.1193007049305115
8,Post,0.09765625,10.24,3.0958391433678996,0.3265507060842414,2.8019653320312505,512,0.10548051463972176
9,Pre,0.0625,16.0,12.263470020978264,4.0321414263813535,1.5523681640625,512,0.32879286364168137
9,Stim,0.0625,16.0,14.223252795457487,4.674936679267828,-3.35107421875,640,0.3286826681981546
9,Post,0.0625,16.0,15.617156291697118,3.3488730241176348,0.94091796875,512,0.21443551960212293
10,Pre,0.0703125,14.222222222222221,8.688127026619865,5.391393152281757,-1.767055935329861,512,0.6205472290820419
10,Stim,0.0703125,14.222222222222221,11.196182088976531,2.9904039026418525,3.5747341579861116,640,0.2670913958773613
10,Post,0.0703125,14.222222222222221,3.8145661941615012,5.39397345013623,-1.9040662977430556,512,1.4140463621766843
11,Pre,0.0703125,14.222222222222221,6.743722580877026,1.698375992666379,-4.725918240017361,512,0.2518454714436821
11,Stim,0.0703125,14.222222222222221,9.985182381929473,3.8431239142825433,2.1447536892361105,640,0.38488269590724516
11,Post,0.0703125,14.222222222222221,10.65732597669818,4.038493894302914,-1.7982788085937498,512,0.3789406369977723
12,Pre,0.078125,12.8,5.538248474577147,0.6708719767652599,4.9502197265625,512,0.12113432249290366
12,Stim,0.078125,12.8,4.55400471855686,1.8634703041495528,3.881318359375,640,0.4091937578712208
