Subject,Phase,n_beats,n_resampled,a1,a2,sigma2,zeta,omega_n,f_n,is_complex,radius,z1_abs,theta_rad,error,z1_real,z1_imag,z2_real,z2_imag
1,Pre,433,1198,-1.9631840868256227,0.989132608471966,0.2361685985084594,0.03378710968842515,0.10288378880760733,0.10288378880760733,True,0.9945514609470772,0.9945514609470772,0.1616094775457315,,0.9815920434128114,0.1600302120870534,0.9815920434128114,-0.1600302120870534
1,Stim,421,1199,-1.9617945758958242,0.9888147655639049,0.32798168456531995,0.03407988246790396,0.1049989652949887,0.1049989652949887,True,0.9943916560208583,0.9943916560208583,0.16493198900263306,,0.9808972879479122,0.16326443599368357,0.9808972879479122,-0.16326443599368357
1,Post,441,1194,-1.9649004383425392,0.9890227900574552,0.5507585315664918,0.0354005145435851,0.0991870263103554,0.0991870263103554,True,0.9944962493933575,0.9944962493933575,0.15580261659401504,,0.9824502191712695,0.1543190101956968,0.9824502191712695,-0.1543190101956968
2,Pre,422,1196,-1.970107698900818,0.9908378428612581,0.09846311148827064,0.03186306826670593,0.09190452013830128,0.09190452013830128,True,0.9954083799432564,0.9954083799432564,0.14436328264909123,,0.985053849450409,0.14320180356472215,0.985053849450409,-0.14320180356472215
2,Stim,419,1198,-1.9691490117299177,0.9898083963786074,0.1306450057567737,0.035513103440667756,0.09175981409703754,0.09175981409703754,True,0.99489114800495,0.99489114800495,0.14413597893100913,,0.9845745058649589,0.14290359960259738,0.9845745058649589,-0.14290359960259738
2,Post,429,1196,-1.9714456448225404,0.9905114596133258,0.14200424276250473,0.03441349385014043,0.08813168154554486,0.08813168154554486,True,0.9952444220458236,0.9952444220458236,0.13843692164599944,,0.9857228224112702,0.13733891287936278,0.9857228224112702,-0.13733891287936278
3,Pre,324,1195,-1.964158936663311,0.9893055170642534,0.11433410915029905,0.03377521471030072,0.1012736908272918,0.1012736908272918,True,0.9946383850748236,0.9946383850748236,0.15908034155247197,,0.9820794683316554,0.15756089281819358,0.9820794683316554,-0.15756089281819358
3,Stim,322,1198,-1.9631660977842351,0.9881434548719886,0.0991321356564941,0.03758312633436301,0.10094757094028489,0.10094757094028489,True,0.9940540502769397,0.9940540502769397,0.15856807363186676,,0.9815830488921176,0.156965515319905,0.9815830488921176,-0.156965515319905
3,Post,339,1193,-1.9652397241067998,0.9884646922777262,0.19963351541911667,0.03791896695576411,0.09732565804763177,0.09732565804763177,True,0.9942156165931643,0.9942156165931643,0.15287878616411615,,0.9826198620533997,0.15140310094540166,0.9826198620533997,-0.15140310094540166
4,Pre,458,1198,-1.9635002099386951,0.9881632070064028,0.11674587946070437,0.037759192741534386,0.1003078111233248,0.1003078111233248,True,0.9940639853683478,0.9940639853683478,0.15756314126135487,,0.9817501049693477,0.15598057058197315,0.9817501049693477,-0.15598057058197315
