Subject,ref_Pre,ref_n_Pre,ref_Stim,ref_n_Stim,ref_Post,ref_n_Post,py_Pre,py_Stim,py_Post,fp_Pre,fp_Stim,fp_Post
1,0.8507139847699167,511,0.9402397892797414,640,0.9092399755759188,512,0.8519395199068409,0.9446258152762816,0.9175003611267403,0.8668764782560036,0.9442587585690841,0.9170277673018971
2,0.7316317710342873,511,0.8113673155282239,640,0.9275749729009551,512,0.7381528624887979,0.8120157690614149,0.9210198570697035,0.7661903966389789,0.8085565068201781,0.9207812506914768
3,0.6441349279223977,511,0.8887870824297774,640,0.9237949764573045,512,0.64183083092785,0.8786613271095675,0.903226275983209,0.686109814042972,0.8808006223546043,0.9040769955446076
4,0.7674317204293132,511,0.8566097102678608,640,0.9463606298805396,512,0.7744086990877109,0.8541133071345589,0.9044276137733726,0.755372017550606,0.8504442329283417,0.9047837472974831
5,0.6725087065024637,511,0.8650791228316763,640,0.8998503286669224,512,0.6393888254726413,0.8375667227978711,0.8745509398074429,0.6270016148154125,0.8344279538945422,0.8742209139824837
6,0.6975505118371215,511,0.8722710342666924,640,0.8872508828872119,512,0.6742712242394037,0.8665658187779398,0.9008724037575786,0.7622499841779966,0.8659128382132467,0.9015607301947697
7,0.7140679432357795,511,0.8127613587226705,640,0.8707651307870494,512,0.7156833622389187,0.8173084137797136,0.8733443046385378,0.787560749222681,0.815858743451086,0.8759966214487829
8,0.8158289076271049,511,0.8633246125186356,640,0.8826552921261568,512,0.8012521378386508,0.8411096369074038,0.8629091430075013,0.8067015281770898,0.8449058859037766,0.8630062778062594
9,0.7936166506743809,511,0.8157716823450013,640,0.7816049316336675,512,0.7671904782874772,0.7869857250852021,0.771751971248542,0.7570811060050389,0.7891312302968212,0.7728372984744332
10,0.7458517496658729,511,0.7936290646748064,640,0.7556692722463303,512,0.7874572194435275,0.901370953326919,0.8467725889223596,0.7956379848924884,0.9022132729613815,0.8466111611744751
11,0.7890814636778628,511,0.8074087874014804,640,0.8101356728563929,512,0.7888315564657893,0.8073755820905053,0.8091749620904434,0.795271827130456,0.8124988716662995,0.81110852912578
12,0.8758002741612549,511,0.895168696951826,640,0.9267485485780984,512,0.8770822944153263,0.8948865043534286,0.9265818708112916,0.9184258138027748,0.9015089397219255,0.9237156442840795
13,0.7559787538951449,511,0.8830180752969193,640,0.8831765495750148,512,0.75622663750661,0.8825613022501685,0.8819140029549146,0.7257752114239049,0.8801630526821131,0.8822316521251728
14,0.7684519702917758,511,0.8867701253919021,640,0.8604370491301518,512,0.7694120322205027,0.88399256483474,0.8587233781622602,0.847800118476474,0.895900388761186,0.8459190578953684
15,0.8767580623950462,511,0.9188174569594416,640,0.8932977702287825,512,0.8755093585581394,0.9179850894797408,0.8915238560857913,0.8469393318505706,0.8512656719385362,0.8656958416560221
16,0.7673335096766127,511,0.6797100361650699,640,0.8118688710465567,512,0.7660632504832872,0.6781328756792359,0.8063194455649937,0.7298309576309778,0.6734960436937615,0.738295567935316
17,0.8149530602461021,511,0.8933410886540513,640,0.9107926696191389,512,0.8147677921032396,0.8932979521505342,0.9096251962726072,0.8066635519314733,0.9074218918347444,0.9012875074725818
18,0.7772770335296899,511,0.7816707383566002,640,0.768028942875854,512,0.7712233820932323,0.7847310438702672,0.7670914900251807,0.8188751223409443,0.7752330094650224,0.8009613724923564
