Metric,Category,n,Description,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Temporal_Type
GC3_F_PTT_to_RRI,Trivariate GC,16,GC3 PTT->RRI,3.16,4.44,2.95,5.2,4.34,5.38,-0.19,0.4037,0.7591,,0.34,0.5282,0.8825,0.34,0.0833,0.5874,,,D
GC3_F_PTT_to_SBP,Trivariate GC,16,GC3 PTT->SBP (vascular -> pressure),3.02,3.18,3.02,3.48,3.48,3.83,0.01,0.7057,0.8774,,0.21,0.8603,0.9737,0.23,0.8209,0.9737,,,D
GC3_F_RRI_to_PTT,Trivariate GC,16,GC3 RRI->PTT (cardiac timing -> vascular transit),7.99,10.1,9.81,11.08,11.34,13.8,0.85,0.0034,0.0368,,0.34,0.0833,0.5874,0.14,0.782,0.9737,,,-
GC3_F_RRI_to_SBP,Trivariate GC,16,GC3 RRI->SBP (controlling PTT),15.47,9.01,18.59,11.13,17.8,10.47,0.53,0.0739,0.2833,,0.39,0.2114,0.8486,-0.17,0.4637,0.8825,,,-
GC3_F_SBP_to_PTT,Trivariate GC,16,GC3 SBP->PTT,3.83,1.99,3.92,1.95,3.81,2.55,0.04,0.5966,0.8316,,-0.01,0.8209,0.9737,-0.06,0.5282,0.8825,,,D
GC3_F_SBP_to_RRI,Trivariate GC,16,GC3 SBP->RRI (controlling PTT),4.22,2.31,5.48,2.0,4.2,2.43,0.44,0.0443,0.2265,,-0.01,0.782,0.9737,-0.46,0.1046,0.5961,,,B
PDC_PTT_to_RRI_Mayer,PDC,16,PDC PTT->RRI (Mayer),0.03,0.04,0.01,0.01,0.04,0.1,-0.46,0.0739,0.2833,,0.16,0.9799,1.0,0.28,0.1928,0.8484,,,-
PDC_PTT_to_SBP_Mayer,PDC,16,PDC PTT->SBP (Mayer),0.03,0.06,0.02,0.03,0.02,0.04,-0.19,0.8603,0.9613,,-0.35,0.0934,0.5874,-0.08,0.6685,0.9737,,,-
PDC_RRI_to_SBP_Mayer,PDC,16,PDC RRI->SBP (Mayer),0.16,0.11,0.12,0.07,0.12,0.06,-0.45,0.1167,0.4128,,-0.33,0.2744,0.8825,0.01,0.8603,0.9737,,,D
PDC_SBP_to_RRI_Mayer,PDC,16,Partial Directed Coherence SBP->RRI (Mayer),0.18,0.14,0.22,0.19,0.2,0.16,0.23,0.4037,0.7591,,0.13,0.3755,0.8825,-0.16,0.8603,0.9737,,,D
rho_u,VAR Residuals,18,Residual cross-correlation (unexplained coupling),0.32,0.13,0.29,0.2,0.22,0.21,-0.18,0.1674,0.5499,,-0.6,0.0028,0.1108,-0.28,0.3927,0.8825,,,C
sigma2_RRI,VAR Residuals,18,VAR innovation variance (RRI),0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.3465,0.7591,1.23,0.08,1.0,1.0,0.34,0.3465,0.8825,,,D
sigma2_SBP,VAR Residuals,18,VAR innovation variance (SBP),0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.8986,0.9613,,-0.21,0.766,0.9737,-0.02,0.865,0.9737,,,D
Snn_RRI_Mayer,Innovation Variance,18,RRI noise spectrum (Mayer band),0.23,0.15,0.19,0.11,0.2,0.1,-0.31,0.2121,0.6099,,-0.27,0.3692,0.8825,0.07,0.766,0.9737,,,D
innov_RRI_from_SBP_frac_Mayer,Innovation Variance,18,SBP-driven RRI innovation fraction (Mayer band),0.15,0.12,0.19,0.16,0.21,0.13,0.31,0.4683,0.7591,,0.63,0.0237,0.3938,0.19,0.4171,0.8825,,,C
innov_RRI_own_frac_Mayer,Innovation Variance,18,RRI self-innovation fraction (Mayer band),0.85,0.12,0.81,0.16,0.79,0.13,-0.31,0.4683,0.7591,,-0.63,0.0237,0.3938,-0.19,0.4171,0.8825,,,C
SNR_openloop_Mayer,CGN,18,Open-loop SNR = gamma2/(1-gamma2) (Mayer),5.05,4.54,6.58,6.28,5.61,5.4,0.2,0.5509,0.7919,2.96,0.1,0.9661,1.0,-0.11,0.3927,0.8825,,,D
SNR_openloop_Mayer_dB,CGN,18,SNR in dB (Mayer band),5.48,3.81,6.15,4.7,5.86,3.88,0.12,0.6705,0.8568,,0.1,0.7987,0.9737,-0.05,0.7987,0.9737,,,D
Snn_Syy_ratio_Mayer,CGN,18,Noise/output ratio Snn/Syy (Mayer),0.22,0.14,0.2,0.17,0.2,0.16,-0.11,0.7987,0.9185,,-0.12,0.2645,0.8825,-0.02,0.4683,0.8825,,,D
Snn_openloop_Mayer,CGN,18,Open-loop noise spectrum Snn (Mayer),67.79,58.5,101.34,184.2,64.06,86.18,0.23,0.2288,0.619,,-0.05,0.3465,0.8825,-0.26,0.4423,0.8825,,,D
gamma2_mean_Mayer,CGN,18,"Mean squared coherence (Mayer, from VAR)",0.75,0.15,0.76,0.18,0.76,0.15,0.08,0.6705,0.8568,3.91,0.1,0.8986,0.9737,-0.01,0.8317,0.9737,,,D
PTT_mean,PTT,16,Mean Pulse Transit Time (ms),308.85,68.84,308.94,70.09,309.09,67.64,0.03,0.9799,1.0,3.9,0.05,0.8999,0.9737,0.03,0.8603,0.9737,,,D
