time_s,raw,expanding_mean,rm_90s
60.000000,-0.475397,-0.475397,-0.475397
60.468750,-0.475390,-0.475394,-0.475394
60.937500,-0.475635,-0.475474,-0.475474
61.406250,-0.476124,-0.475636,-0.475636
61.875000,-0.476849,-0.475879,-0.475879
62.343750,-0.477802,-0.476200,-0.476200
62.812500,-0.478972,-0.476596,-0.476596
63.281250,-0.480348,-0.477065,-0.477065
63.750000,-0.481919,-0.477604,-0.477604
64.218750,-0.483673,-0.478211,-0.478211
64.687500,-0.485596,-0.478882,-0.478882
65.156250,-0.487675,-0.479615,-0.479615
65.625000,-0.489896,-0.480406,-0.480406
66.093750,-0.492246,-0.481252,-0.481252
66.562500,-0.494709,-0.482149,-0.482149
67.031250,-0.497272,-0.483094,-0.483094
67.500000,-0.499919,-0.484084,-0.484084
67.968750,-0.502638,-0.485114,-0.485114
68.437500,-0.505413,-0.486183,-0.486183
68.906250,-0.508232,-0.487285,-0.487285
69.375000,-0.511079,-0.488418,-0.488418
69.843750,-0.513944,-0.489579,-0.489579
70.312500,-0.516811,-0.490763,-0.490763
70.781250,-0.519671,-0.491967,-0.491967
71.250000,-0.522510,-0.493189,-0.493189
71.718750,-0.525318,-0.494425,-0.494425
72.187500,-0.528084,-0.495671,-0.495671
72.656250,-0.530799,-0.496926,-0.496926
73.125000,-0.533453,-0.498185,-0.498185
73.593750,-0.536038,-0.499447,-0.499447
74.062500,-0.538546,-0.500708,-0.500708
74.531250,-0.540969,-0.501966,-0.501966
75.000000,-0.543300,-0.503219,-0.503219
75.468750,-0.545533,-0.504464,-0.504464
75.937500,-0.547663,-0.505698,-0.505698
76.406250,-0.549683,-0.506920,-0.506920
76.875000,-0.551590,-0.508127,-0.508127
77.343750,-0.553380,-0.509318,-0.509318
77.812500,-0.555048,-0.510490,-0.510490
78.281250,-0.556592,-0.511643,-0.511643
78.750000,-0.558008,-0.512774,-0.512774
79.218750,-0.559294,-0.513881,-0.513881
79.687500,-0.560448,-0.514964,-0.514964
80.156250,-0.561468,-0.516021,-0.516021
80.625000,-0.562352,-0.517051,-0.517051
81.093750,-0.563099,-0.518052,-0.518052
