time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.453302,-0.453302,-0.453302,-0.453302,-0.453302
60.468750,-0.444213,-0.448758,-0.448758,-0.448758,-0.448758
60.937500,-0.435352,-0.444289,-0.444289,-0.444289,-0.444289
61.406250,-0.426731,-0.439899,-0.439899,-0.439899,-0.439899
61.875000,-0.418365,-0.435592,-0.435592,-0.435592,-0.435592
62.343750,-0.410264,-0.431371,-0.431371,-0.431371,-0.431371
62.812500,-0.402439,-0.427238,-0.427238,-0.427238,-0.427238
63.281250,-0.394898,-0.423195,-0.423195,-0.423195,-0.423195
63.750000,-0.387649,-0.419246,-0.419246,-0.419246,-0.419246
64.218750,-0.380698,-0.415391,-0.415391,-0.415391,-0.415391
64.687500,-0.374049,-0.411633,-0.411633,-0.411633,-0.411633
65.156250,-0.367704,-0.407972,-0.407972,-0.407972,-0.407972
65.625000,-0.361664,-0.404410,-0.404410,-0.404410,-0.404410
66.093750,-0.355931,-0.400947,-0.400947,-0.400947,-0.400947
66.562500,-0.350501,-0.397584,-0.397584,-0.397584,-0.397584
67.031250,-0.345373,-0.394321,-0.394321,-0.394321,-0.394321
67.500000,-0.340542,-0.391157,-0.391157,-0.391157,-0.391157
67.968750,-0.336003,-0.388093,-0.388093,-0.388093,-0.388093
68.437500,-0.331750,-0.385128,-0.385128,-0.385128,-0.385128
68.906250,-0.327775,-0.382260,-0.382260,-0.382260,-0.382260
69.375000,-0.324071,-0.379489,-0.379489,-0.379489,-0.379489
69.843750,-0.320628,-0.376814,-0.376814,-0.376814,-0.376814
70.312500,-0.317437,-0.374232,-0.374232,-0.374232,-0.374232
70.781250,-0.314487,-0.371743,-0.371743,-0.371743,-0.371743
71.250000,-0.311768,-0.369344,-0.369344,-0.369344,-0.369344
71.718750,-0.309269,-0.367033,-0.367033,-0.367033,-0.367033
72.187500,-0.306979,-0.364809,-0.364809,-0.364809,-0.364809
72.656250,-0.304885,-0.362669,-0.362669,-0.362669,-0.362669
73.125000,-0.302977,-0.360611,-0.360611,-0.360611,-0.360611
73.593750,-0.301241,-0.358632,-0.358632,-0.358632,-0.358632
74.062500,-0.299667,-0.356729,-0.356729,-0.356729,-0.356729
74.531250,-0.298243,-0.354902,-0.354902,-0.354902,-0.354902
75.000000,-0.296956,-0.353146,-0.353146,-0.353146,-0.353146
75.468750,-0.295795,-0.351459,-0.351459,-0.351459,-0.351459
75.937500,-0.294750,-0.349839,-0.349839,-0.349839,-0.349839
76.406250,-0.293808,-0.348282,-0.348282,-0.348282,-0.348282
76.875000,-0.292958,-0.346787,-0.346787,-0.346787,-0.346787
77.343750,-0.292191,-0.345350,-0.345350,-0.345350,-0.345350
77.812500,-0.291496,-0.343970,-0.343970,-0.343970,-0.343970
78.281250,-0.290864,-0.342642,-0.342642,-0.342642,-0.342642
78.750000,-0.290284,-0.341365,-0.341365,-0.341365,-0.341365
79.218750,-0.289747,-0.340136,-0.340136,-0.340136,-0.340136
79.687500,-0.289246,-0.338952,-0.338952,-0.338952,-0.338952
80.156250,-0.288770,-0.337812,-0.337812,-0.337812,-0.337812
80.625000,-0.288313,-0.336712,-0.336712,-0.336712,-0.336712
81.093750,-0.287867,-0.335650,-0.335650,-0.335650,-0.335650
81.562500,-0.287424,-0.334624,-0.334624,-0.334624,-0.334624
82.031250,-0.286979,-0.333631,-0.333631,-0.333631,-0.333631
82.500000,-0.286523,-0.332670,-0.332670,-0.332670,-0.332670
82.968750,-0.286053,-0.331738,-0.331738,-0.331738,-0.331738
83.437500,-0.285560,-0.330832,-0.330832,-0.330832,-0.330832
83.906250,-0.285042,-0.329952,-0.329952,-0.329952,-0.329952
84.375000,-0.284492,-0.329094,-0.329094,-0.329094,-0.329094
84.843750,-0.283905,-0.328257,-0.328257,-0.328257,-0.328257
85.312500,-0.283278,-0.327439,-0.327439,-0.327439,-0.327439
85.781250,-0.282607,-0.326639,-0.326639,-0.326639,-0.326639
86.250000,-0.281888,-0.325854,-0.325854,-0.325854,-0.325854
86.718750,-0.281117,-0.325082,-0.325082,-0.325082,-0.325082
87.187500,-0.280292,-0.324323,-0.324323,-0.324323,-0.324323
87.656250,-0.279411,-0.323575,-0.323575,-0.323575,-0.323575
88.125000,-0.278469,-0.322835,-0.322835,-0.322835,-0.322835
88.593750,-0.277467,-0.322103,-0.322103,-0.322103,-0.322103
89.062500,-0.276401,-0.321378,-0.321378,-0.321378,-0.321378
89.531250,-0.275269,-0.320657,-0.320657,-0.320657,-0.320657
90.000000,-0.274071,-0.319941,-0.319941,-0.319941,-0.319941
90.468750,-0.272806,-0.319227,-0.319227,-0.319227,-0.319227
90.937500,-0.271471,-0.318514,-0.318514,-0.318514,-0.318514
91.406250,-0.270068,-0.317801,-0.317801,-0.317801,-0.317801
91.875000,-0.268594,-0.317088,-0.317088,-0.317088,-0.317088
92.343750,-0.267051,-0.316373,-0.316373,-0.316373,-0.316373
92.812500,-0.265438,-0.315656,-0.315656,-0.315656,-0.315656
93.281250,-0.263755,-0.314935,-0.314935,-0.314935,-0.314935
93.750000,-0.262003,-0.314210,-0.314210,-0.314210,-0.314210
94.218750,-0.260182,-0.313480,-0.313480,-0.313480,-0.313480
94.687500,-0.258294,-0.312744,-0.312744,-0.312744,-0.312744
95.156250,-0.256339,-0.312002,-0.312002,-0.312002,-0.312002
95.625000,-0.254319,-0.311253,-0.311253,-0.311253,-0.311253
96.093750,-0.252235,-0.310496,-0.310496,-0.310496,-0.310496
96.562500,-0.250089,-0.309732,-0.309732,-0.309732,-0.309732
97.031250,-0.247883,-0.308958,-0.308958,-0.308958,-0.308958
97.500000,-0.245619,-0.308176,-0.308176,-0.308176,-0.308176
97.968750,-0.243300,-0.307385,-0.307385,-0.307385,-0.307385
98.437500,-0.240929,-0.306585,-0.306585,-0.306585,-0.306585
98.906250,-0.238508,-0.305774,-0.305774,-0.305774,-0.305774
99.375000,-0.236041,-0.304954,-0.304954,-0.304954,-0.304954
99.843750,-0.233532,-0.304123,-0.304123,-0.304123,-0.304123
100.312500,-0.230983,-0.303283,-0.303283,-0.303283,-0.303283
100.781250,-0.228400,-0.302432,-0.302432,-0.302432,-0.302432
101.250000,-0.225787,-0.301570,-0.301570,-0.301570,-0.301570
101.718750,-0.223148,-0.300699,-0.300699,-0.300699,-0.300699
102.187500,-0.220488,-0.299818,-0.299818,-0.299818,-0.299818
102.656250,-0.217813,-0.298926,-0.298926,-0.298926,-0.298926
103.125000,-0.215129,-0.298025,-0.298025,-0.298025,-0.298025
103.593750,-0.212441,-0.297115,-0.297115,-0.297115,-0.297115
104.062500,-0.209756,-0.296195,-0.296195,-0.296195,-0.296195
104.531250,-0.207082,-0.295267,-0.295267,-0.295267,-0.295267
105.000000,-0.204424,-0.294330,-0.294330,-0.294330,-0.294330
105.468750,-0.201790,-0.293386,-0.293386,-0.293386,-0.293386
