time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.626710,-0.626710,-0.626710,-0.626710,-0.626710
60.468750,-0.626219,-0.626465,-0.626465,-0.626465,-0.626465
60.937500,-0.625806,-0.626245,-0.626245,-0.626245,-0.626245
61.406250,-0.625470,-0.626051,-0.626051,-0.626051,-0.626051
61.875000,-0.625212,-0.625884,-0.625884,-0.625884,-0.625884
62.343750,-0.625033,-0.625742,-0.625742,-0.625742,-0.625742
62.812500,-0.624931,-0.625626,-0.625626,-0.625626,-0.625626
63.281250,-0.624905,-0.625536,-0.625536,-0.625536,-0.625536
63.750000,-0.624953,-0.625471,-0.625471,-0.625471,-0.625471
64.218750,-0.625071,-0.625431,-0.625431,-0.625431,-0.625431
64.687500,-0.625258,-0.625415,-0.625415,-0.625415,-0.625415
65.156250,-0.625509,-0.625423,-0.625423,-0.625423,-0.625423
65.625000,-0.625820,-0.625454,-0.625454,-0.625454,-0.625454
66.093750,-0.626186,-0.625506,-0.625506,-0.625506,-0.625506
66.562500,-0.626602,-0.625579,-0.625579,-0.625579,-0.625579
67.031250,-0.627062,-0.625672,-0.625672,-0.625672,-0.625672
67.500000,-0.627561,-0.625783,-0.625783,-0.625783,-0.625783
67.968750,-0.628092,-0.625911,-0.625911,-0.625911,-0.625911
68.437500,-0.628650,-0.626055,-0.626055,-0.626055,-0.626055
68.906250,-0.629227,-0.626214,-0.626214,-0.626214,-0.626214
69.375000,-0.629817,-0.626385,-0.626385,-0.626385,-0.626385
69.843750,-0.630414,-0.626569,-0.626569,-0.626569,-0.626569
70.312500,-0.631011,-0.626762,-0.626762,-0.626762,-0.626762
70.781250,-0.631602,-0.626963,-0.626963,-0.626963,-0.626963
71.250000,-0.632179,-0.627172,-0.627172,-0.627172,-0.627172
71.718750,-0.632738,-0.627386,-0.627386,-0.627386,-0.627386
72.187500,-0.633272,-0.627604,-0.627604,-0.627604,-0.627604
72.656250,-0.633775,-0.627825,-0.627825,-0.627825,-0.627825
73.125000,-0.634243,-0.628046,-0.628046,-0.628046,-0.628046
73.593750,-0.634670,-0.628267,-0.628267,-0.628267,-0.628267
74.062500,-0.635050,-0.628485,-0.628485,-0.628485,-0.628485
74.531250,-0.635381,-0.628701,-0.628701,-0.628701,-0.628701
75.000000,-0.635656,-0.628912,-0.628912,-0.628912,-0.628912
75.468750,-0.635873,-0.629116,-0.629116,-0.629116,-0.629116
75.937500,-0.636028,-0.629314,-0.629314,-0.629314,-0.629314
76.406250,-0.636118,-0.629503,-0.629503,-0.629503,-0.629503
76.875000,-0.636140,-0.629682,-0.629682,-0.629682,-0.629682
77.343750,-0.636090,-0.629851,-0.629851,-0.629851,-0.629851
77.812500,-0.635968,-0.630008,-0.630008,-0.630008,-0.630008
78.281250,-0.635770,-0.630152,-0.630152,-0.630152,-0.630152
78.750000,-0.635495,-0.630282,-0.630282,-0.630282,-0.630282
79.218750,-0.635141,-0.630398,-0.630398,-0.630398,-0.630398
79.687500,-0.634706,-0.630498,-0.630498,-0.630498,-0.630498
80.156250,-0.634190,-0.630582,-0.630582,-0.630582,-0.630582
80.625000,-0.633591,-0.630649,-0.630649,-0.630649,-0.630649
81.093750,-0.632907,-0.630698,-0.630698,-0.630698,-0.630698
81.562500,-0.632139,-0.630729,-0.630729,-0.630729,-0.630729
82.031250,-0.631286,-0.630740,-0.630740,-0.630740,-0.630740
82.500000,-0.630346,-0.630732,-0.630732,-0.630732,-0.630732
82.968750,-0.629320,-0.630704,-0.630704,-0.630704,-0.630704
83.437500,-0.628206,-0.630655,-0.630655,-0.630655,-0.630655
83.906250,-0.627005,-0.630585,-0.630585,-0.630585,-0.630585
84.375000,-0.625715,-0.630493,-0.630493,-0.630493,-0.630493
84.843750,-0.624335,-0.630379,-0.630379,-0.630379,-0.630379
85.312500,-0.622866,-0.630242,-0.630242,-0.630242,-0.630242
