time_s,raw,expanding_mean,rm_90s
60.000000,-0.643155,-0.643155,-0.643155
60.468750,-0.648177,-0.645666,-0.645666
60.937500,-0.653295,-0.648209,-0.648209
61.406250,-0.658498,-0.650781,-0.650781
61.875000,-0.663775,-0.653380,-0.653380
62.343750,-0.669117,-0.656003,-0.656003
62.812500,-0.674511,-0.658647,-0.658647
63.281250,-0.679947,-0.661309,-0.661309
63.750000,-0.685412,-0.663987,-0.663987
64.218750,-0.690896,-0.666678,-0.666678
64.687500,-0.696385,-0.669379,-0.669379
65.156250,-0.701870,-0.672086,-0.672086
65.625000,-0.707337,-0.674798,-0.674798
66.093750,-0.712777,-0.677511,-0.677511
66.562500,-0.718178,-0.680222,-0.680222
67.031250,-0.723530,-0.682929,-0.682929
67.500000,-0.728823,-0.685628,-0.685628
67.968750,-0.734047,-0.688318,-0.688318
68.437500,-0.739193,-0.690996,-0.690996
68.906250,-0.744253,-0.693659,-0.693659
69.375000,-0.749219,-0.696305,-0.696305
69.843750,-0.754085,-0.698931,-0.698931
70.312500,-0.758842,-0.701536,-0.701536
70.781250,-0.763486,-0.704117,-0.704117
71.250000,-0.768012,-0.706673,-0.706673
71.718750,-0.772414,-0.709201,-0.709201
72.187500,-0.776689,-0.711701,-0.711701
72.656250,-0.780834,-0.714170,-0.714170
73.125000,-0.784847,-0.716607,-0.716607
73.593750,-0.788724,-0.719011,-0.719011
74.062500,-0.792465,-0.721380,-0.721380
74.531250,-0.796069,-0.723714,-0.723714
75.000000,-0.799534,-0.726012,-0.726012
75.468750,-0.802862,-0.728272,-0.728272
75.937500,-0.806053,-0.730495,-0.730495
76.406250,-0.809106,-0.732678,-0.732678
76.875000,-0.812025,-0.734823,-0.734823
77.343750,-0.814808,-0.736928,-0.736928
77.812500,-0.817460,-0.738993,-0.738993
78.281250,-0.819980,-0.741017,-0.741017
78.750000,-0.822372,-0.743001,-0.743001
79.218750,-0.824637,-0.744945,-0.744945
79.687500,-0.826778,-0.746848,-0.746848
80.156250,-0.828797,-0.748711,-0.748711
