time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.741483,-0.741483,-0.741483,-0.741483,-0.741483
60.468750,-0.743149,-0.742316,-0.742316,-0.742316,-0.742316
60.937500,-0.744947,-0.743193,-0.743193,-0.743193,-0.743193
61.406250,-0.746875,-0.744114,-0.744114,-0.744114,-0.744114
61.875000,-0.748928,-0.745076,-0.745076,-0.745076,-0.745076
62.343750,-0.751101,-0.746081,-0.746081,-0.746081,-0.746081
62.812500,-0.753389,-0.747125,-0.747125,-0.747125,-0.747125
63.281250,-0.755784,-0.748207,-0.748207,-0.748207,-0.748207
63.750000,-0.758278,-0.749326,-0.749326,-0.749326,-0.749326
64.218750,-0.760864,-0.750480,-0.750480,-0.750480,-0.750480
64.687500,-0.763533,-0.751667,-0.751667,-0.751667,-0.751667
65.156250,-0.766273,-0.752884,-0.752884,-0.752884,-0.752884
65.625000,-0.769076,-0.754129,-0.754129,-0.754129,-0.754129
66.093750,-0.771931,-0.755401,-0.755401,-0.755401,-0.755401
66.562500,-0.774825,-0.756696,-0.756696,-0.756696,-0.756696
67.031250,-0.777749,-0.758012,-0.758012,-0.758012,-0.758012
67.500000,-0.780691,-0.759346,-0.759346,-0.759346,-0.759346
67.968750,-0.783640,-0.760695,-0.760695,-0.760695,-0.760695
68.437500,-0.786583,-0.762058,-0.762058,-0.762058,-0.762058
68.906250,-0.789511,-0.763431,-0.763431,-0.763431,-0.763431
69.375000,-0.792411,-0.764811,-0.764811,-0.764811,-0.764811
69.843750,-0.795274,-0.766195,-0.766195,-0.766195,-0.766195
70.312500,-0.798089,-0.767582,-0.767582,-0.767582,-0.767582
70.781250,-0.800847,-0.768968,-0.768968,-0.768968,-0.768968
71.250000,-0.803538,-0.770351,-0.770351,-0.770351,-0.770351
71.718750,-0.806154,-0.771728,-0.771728,-0.771728,-0.771728
72.187500,-0.808687,-0.773097,-0.773097,-0.773097,-0.773097
72.656250,-0.811129,-0.774455,-0.774455,-0.774455,-0.774455
