time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.617633,-0.617633,-0.617633,-0.617633,-0.617633
60.468750,-0.615458,-0.616546,-0.616546,-0.616546,-0.616546
60.937500,-0.613303,-0.615465,-0.615465,-0.615465,-0.615465
61.406250,-0.611165,-0.614390,-0.614390,-0.614390,-0.614390
61.875000,-0.609043,-0.613321,-0.613321,-0.613321,-0.613321
62.343750,-0.606933,-0.612256,-0.612256,-0.612256,-0.612256
62.812500,-0.604831,-0.611195,-0.611195,-0.611195,-0.611195
63.281250,-0.602735,-0.610138,-0.610138,-0.610138,-0.610138
63.750000,-0.600640,-0.609082,-0.609082,-0.609082,-0.609082
64.218750,-0.598543,-0.608028,-0.608028,-0.608028,-0.608028
64.687500,-0.596438,-0.606975,-0.606975,-0.606975,-0.606975
65.156250,-0.594323,-0.605920,-0.605920,-0.605920,-0.605920
65.625000,-0.592191,-0.604864,-0.604864,-0.604864,-0.604864
66.093750,-0.590039,-0.603805,-0.603805,-0.603805,-0.603805
66.562500,-0.587861,-0.602742,-0.602742,-0.602742,-0.602742
67.031250,-0.585654,-0.601674,-0.601674,-0.601674,-0.601674
67.500000,-0.583410,-0.600600,-0.600600,-0.600600,-0.600600
67.968750,-0.581127,-0.599518,-0.599518,-0.599518,-0.599518
68.437500,-0.578799,-0.598428,-0.598428,-0.598428,-0.598428
68.906250,-0.576421,-0.597327,-0.597327,-0.597327,-0.597327
69.375000,-0.573989,-0.596216,-0.596216,-0.596216,-0.596216
69.843750,-0.571497,-0.595092,-0.595092,-0.595092,-0.595092
70.312500,-0.568942,-0.593955,-0.593955,-0.593955,-0.593955
70.781250,-0.566320,-0.592804,-0.592804,-0.592804,-0.592804
71.250000,-0.563625,-0.591637,-0.591637,-0.591637,-0.591637
71.718750,-0.560855,-0.590453,-0.590453,-0.590453,-0.590453
72.187500,-0.558006,-0.589251,-0.589251,-0.589251,-0.589251
72.656250,-0.555075,-0.588031,-0.588031,-0.588031,-0.588031
73.125000,-0.552058,-0.586790,-0.586790,-0.586790,-0.586790
73.593750,-0.548953,-0.585529,-0.585529,-0.585529,-0.585529
74.062500,-0.545756,-0.584246,-0.584246,-0.584246,-0.584246
74.531250,-0.542467,-0.582940,-0.582940,-0.582940,-0.582940
75.000000,-0.539083,-0.581611,-0.581611,-0.581611,-0.581611
75.468750,-0.535601,-0.580258,-0.580258,-0.580258,-0.580258
75.937500,-0.532022,-0.578880,-0.578880,-0.578880,-0.578880
76.406250,-0.528343,-0.577476,-0.577476,-0.577476,-0.577476
76.875000,-0.524564,-0.576046,-0.576046,-0.576046,-0.576046
77.343750,-0.520684,-0.574589,-0.574589,-0.574589,-0.574589
77.812500,-0.516704,-0.573105,-0.573105,-0.573105,-0.573105
78.281250,-0.512622,-0.571593,-0.571593,-0.571593,-0.571593
78.750000,-0.508440,-0.570053,-0.570053,-0.570053,-0.570053
79.218750,-0.504158,-0.568484,-0.568484,-0.568484,-0.568484
79.687500,-0.499776,-0.566886,-0.566886,-0.566886,-0.566886
80.156250,-0.495295,-0.565259,-0.565259,-0.565259,-0.565259
80.625000,-0.490717,-0.563602,-0.563602,-0.563602,-0.563602
81.093750,-0.486043,-0.561916,-0.561916,-0.561916,-0.561916
81.562500,-0.481274,-0.560200,-0.560200,-0.560200,-0.560200
82.031250,-0.476413,-0.558455,-0.558455,-0.558455,-0.558455
82.500000,-0.471461,-0.556679,-0.556679,-0.556679,-0.556679
82.968750,-0.466421,-0.554874,-0.554874,-0.554874,-0.554874
83.437500,-0.461295,-0.553039,-0.553039,-0.553039,-0.553039
83.906250,-0.456086,-0.551175,-0.551175,-0.551175,-0.551175
84.375000,-0.450795,-0.549281,-0.549281,-0.549281,-0.549281
84.843750,-0.445427,-0.547358,-0.547358,-0.547358,-0.547358
85.312500,-0.439983,-0.545405,-0.545405,-0.545405,-0.545405
85.781250,-0.434467,-0.543424,-0.543424,-0.543424,-0.543424
86.250000,-0.428883,-0.541415,-0.541415,-0.541415,-0.541415
86.718750,-0.423233,-0.539377,-0.539377,-0.539377,-0.539377
87.187500,-0.417521,-0.537312,-0.537312,-0.537312,-0.537312
87.656250,-0.411751,-0.535219,-0.535219,-0.535219,-0.535219
88.125000,-0.405927,-0.533100,-0.533100,-0.533100,-0.533100
88.593750,-0.400052,-0.530954,-0.530954,-0.530954,-0.530954
89.062500,-0.394129,-0.528782,-0.528782,-0.528782,-0.528782
89.531250,-0.388164,-0.526585,-0.526585,-0.526585,-0.526585
90.000000,-0.382159,-0.524363,-0.524363,-0.524363,-0.524363
90.468750,-0.376120,-0.522117,-0.522117,-0.522117,-0.522117
90.937500,-0.370050,-0.519847,-0.519847,-0.519847,-0.519847
91.406250,-0.363953,-0.517555,-0.517555,-0.517555,-0.517555
91.875000,-0.357834,-0.515240,-0.515240,-0.515240,-0.515240
92.343750,-0.351697,-0.512903,-0.512903,-0.512903,-0.512903
92.812500,-0.345547,-0.510546,-0.510546,-0.510546,-0.510546
93.281250,-0.339388,-0.508169,-0.508169,-0.508169,-0.508169
93.750000,-0.333224,-0.505773,-0.505773,-0.505773,-0.505773
94.218750,-0.327060,-0.503358,-0.503358,-0.503358,-0.503358
94.687500,-0.320900,-0.500925,-0.500925,-0.500925,-0.500925
95.156250,-0.314749,-0.498475,-0.498475,-0.498475,-0.498475
95.625000,-0.308612,-0.496009,-0.496009,-0.496009,-0.496009
96.093750,-0.302492,-0.493528,-0.493528,-0.493528,-0.493528
96.562500,-0.296396,-0.491033,-0.491033,-0.491033,-0.491033
97.031250,-0.290326,-0.488524,-0.488524,-0.488524,-0.488524
97.500000,-0.284289,-0.486003,-0.486003,-0.486003,-0.486003
97.968750,-0.278288,-0.483470,-0.483470,-0.483470,-0.483470
98.437500,-0.272329,-0.480926,-0.480926,-0.480926,-0.480926
98.906250,-0.266415,-0.478372,-0.478372,-0.478372,-0.478372
99.375000,-0.260551,-0.475809,-0.475809,-0.475809,-0.475809
99.843750,-0.254743,-0.473239,-0.473239,-0.473239,-0.473239
100.312500,-0.248994,-0.470661,-0.470661,-0.470661,-0.470661
100.781250,-0.243310,-0.468078,-0.468078,-0.468078,-0.468078
101.250000,-0.237694,-0.465489,-0.465489,-0.465489,-0.465489
101.718750,-0.232151,-0.462897,-0.462897,-0.462897,-0.462897
102.187500,-0.226686,-0.460301,-0.460301,-0.460301,-0.460301
102.656250,-0.221303,-0.457703,-0.457703,-0.457703,-0.457703
103.125000,-0.216007,-0.455104,-0.455104,-0.455104,-0.455104
103.593750,-0.210801,-0.452505,-0.452505,-0.452505,-0.452505
104.062500,-0.205691,-0.449907,-0.449907,-0.449907,-0.449907
104.531250,-0.200680,-0.447311,-0.447311,-0.447311,-0.447311
105.000000,-0.195773,-0.444718,-0.444718,-0.444718,-0.444718
105.468750,-0.190973,-0.442129,-0.442129,-0.442129,-0.442129
105.937500,-0.186284,-0.439544,-0.439544,-0.439544,-0.439544
106.406250,-0.181711,-0.436966,-0.436966,-0.436966,-0.436966
106.875000,-0.177256,-0.434395,-0.434395,-0.434395,-0.434395
107.343750,-0.172923,-0.431831,-0.431831,-0.431831,-0.431831
107.812500,-0.168716,-0.429277,-0.429277,-0.429277,-0.429277
108.281250,-0.164638,-0.426732,-0.426732,-0.426732,-0.426732
108.750000,-0.160691,-0.424198,-0.424198,-0.424198,-0.424198
109.218750,-0.156879,-0.421677,-0.421677,-0.421677,-0.421677
109.687500,-0.153203,-0.419167,-0.419167,-0.419167,-0.419167
110.156250,-0.149667,-0.416672,-0.416672,-0.416672,-0.416672
110.625000,-0.146271,-0.414191,-0.414191,-0.414191,-0.414191
111.093750,-0.143018,-0.411726,-0.411726,-0.411726,-0.411726
111.562500,-0.139910,-0.409277,-0.409277,-0.409277,-0.409277
112.031250,-0.136946,-0.406846,-0.406846,-0.406846,-0.406846
112.500000,-0.134129,-0.404432,-0.404432,-0.404432,-0.404432
112.968750,-0.131457,-0.402038,-0.402038,-0.402038,-0.402038
113.437500,-0.128932,-0.399663,-0.399663,-0.399663,-0.399663
113.906250,-0.126553,-0.397309,-0.397309,-0.397309,-0.397309
114.375000,-0.124319,-0.394975,-0.394975,-0.394975,-0.394975
114.843750,-0.122229,-0.392664,-0.392664,-0.392664,-0.392664
115.312500,-0.120281,-0.390375,-0.390375,-0.390375,-0.390375
115.781250,-0.118474,-0.388109,-0.388109,-0.388109,-0.388109
116.250000,-0.116805,-0.385867,-0.385867,-0.385867,-0.385867
116.718750,-0.115271,-0.383649,-0.383649,-0.383649,-0.383649
117.187500,-0.113869,-0.381456,-0.381456,-0.381456,-0.381456
117.656250,-0.112595,-0.379287,-0.379287,-0.379287,-0.379287
118.125000,-0.111446,-0.377145,-0.377145,-0.377145,-0.377145
118.593750,-0.110416,-0.375028,-0.375028,-0.375028,-0.375028
119.062500,-0.109502,-0.372937,-0.372937,-0.372937,-0.372937
119.531250,-0.108698,-0.370873,-0.370873,-0.370873,-0.370873
120.000000,-0.107999,-0.368835,-0.366891,-0.368835,-0.368835
120.468750,-0.107398,-0.366824,-0.362922,-0.366824,-0.366824
120.937500,-0.106891,-0.364840,-0.358966,-0.364840,-0.364840
121.406250,-0.106469,-0.362882,-0.355023,-0.362882,-0.362882
121.875000,-0.106128,-0.360952,-0.351094,-0.360952,-0.360952
122.343750,-0.105861,-0.359048,-0.347179,-0.359048,-0.359048
122.812500,-0.105659,-0.357171,-0.343279,-0.357171,-0.357171
123.281250,-0.105517,-0.355321,-0.339395,-0.355321,-0.355321
123.750000,-0.105428,-0.353497,-0.335526,-0.353497,-0.353497
124.218750,-0.105384,-0.351699,-0.331673,-0.351699,-0.351699
124.687500,-0.105378,-0.349927,-0.327837,-0.349927,-0.349927
125.156250,-0.105403,-0.348180,-0.324017,-0.348180,-0.348180
125.625000,-0.105452,-0.346459,-0.320214,-0.346459,-0.346459
126.093750,-0.105519,-0.344762,-0.316429,-0.344762,-0.344762
126.562500,-0.105596,-0.343089,-0.312661,-0.343089,-0.343089
127.031250,-0.105678,-0.341441,-0.308911,-0.341441,-0.341441
127.500000,-0.105757,-0.339815,-0.305180,-0.339815,-0.339815
127.968750,-0.105827,-0.338213,-0.301467,-0.338213,-0.338213
128.437500,-0.105883,-0.336632,-0.297772,-0.336632,-0.336632
128.906250,-0.105920,-0.335073,-0.294096,-0.335073,-0.335073
129.375000,-0.105931,-0.333535,-0.290439,-0.333535,-0.333535
129.843750,-0.105913,-0.332018,-0.286802,-0.332018,-0.332018
130.312500,-0.105861,-0.330520,-0.283184,-0.330520,-0.330520
130.781250,-0.105770,-0.329042,-0.279586,-0.329042,-0.329042
131.250000,-0.105638,-0.327581,-0.276008,-0.327581,-0.327581
131.718750,-0.105460,-0.326139,-0.272450,-0.326139,-0.326139
132.187500,-0.105234,-0.324714,-0.268913,-0.324714,-0.324714
132.656250,-0.104958,-0.323305,-0.265397,-0.323305,-0.323305
133.125000,-0.104629,-0.321912,-0.261901,-0.321912,-0.321912
133.593750,-0.104245,-0.320535,-0.258427,-0.320535,-0.320535
134.062500,-0.103807,-0.319172,-0.254974,-0.319172,-0.319172
134.531250,-0.103313,-0.317823,-0.251543,-0.317823,-0.317823
135.000000,-0.102762,-0.316487,-0.248134,-0.316487,-0.316487
135.468750,-0.102155,-0.315164,-0.244748,-0.315164,-0.315164
135.937500,-0.101492,-0.313853,-0.241385,-0.313853,-0.313853
136.406250,-0.100774,-0.312554,-0.238044,-0.312554,-0.312554
136.875000,-0.100001,-0.311265,-0.234727,-0.311265,-0.311265
137.343750,-0.099176,-0.309988,-0.231434,-0.309988,-0.309988
137.812500,-0.098300,-0.308720,-0.228165,-0.308720,-0.308720
138.281250,-0.097375,-0.307462,-0.224921,-0.307462,-0.307462
138.750000,-0.096403,-0.306213,-0.221702,-0.306213,-0.306213
139.218750,-0.095388,-0.304973,-0.218509,-0.304973,-0.304973
139.687500,-0.094331,-0.303741,-0.215341,-0.303741,-0.303741
140.156250,-0.093236,-0.302517,-0.212200,-0.302517,-0.302517
140.625000,-0.092107,-0.301301,-0.209086,-0.301301,-0.301301
141.093750,-0.090946,-0.300092,-0.205999,-0.300092,-0.300092
141.562500,-0.089757,-0.298890,-0.202941,-0.298890,-0.298890
142.031250,-0.088544,-0.297695,-0.199910,-0.297695,-0.297695
142.500000,-0.087310,-0.296507,-0.196909,-0.296507,-0.296507
142.968750,-0.086060,-0.295324,-0.193938,-0.295324,-0.295324
143.437500,-0.084797,-0.294148,-0.190996,-0.294148,-0.294148
143.906250,-0.083526,-0.292978,-0.188086,-0.292978,-0.292978
144.375000,-0.082252,-0.291814,-0.185206,-0.291814,-0.291814
144.843750,-0.080977,-0.290655,-0.182359,-0.290655,-0.290655
145.312500,-0.079707,-0.289503,-0.179544,-0.289503,-0.289503
145.781250,-0.078445,-0.288356,-0.176763,-0.288356,-0.288356
146.250000,-0.077197,-0.287214,-0.174015,-0.287214,-0.287214
146.718750,-0.075966,-0.286078,-0.171302,-0.286078,-0.286078
147.187500,-0.074756,-0.284948,-0.168625,-0.284948,-0.284948
147.656250,-0.073573,-0.283824,-0.165983,-0.283824,-0.283824
148.125000,-0.072419,-0.282706,-0.163377,-0.282706,-0.282706
148.593750,-0.071301,-0.281593,-0.160809,-0.281593,-0.281593
149.062500,-0.070221,-0.280486,-0.158278,-0.280486,-0.280486
149.531250,-0.069184,-0.279386,-0.155786,-0.279386,-0.279386
150.000000,-0.068194,-0.278291,-0.153333,-0.276524,-0.278291
150.468750,-0.067256,-0.277204,-0.150920,-0.273669,-0.277204
150.937500,-0.066373,-0.276122,-0.148548,-0.270820,-0.276122
151.406250,-0.065550,-0.275048,-0.146216,-0.267978,-0.275048
151.875000,-0.064790,-0.273981,-0.143927,-0.265144,-0.273981
152.343750,-0.064098,-0.272921,-0.141680,-0.262317,-0.272921
152.812500,-0.063476,-0.271868,-0.139477,-0.259497,-0.271868
153.281250,-0.062930,-0.270824,-0.137317,-0.256685,-0.270824
153.750000,-0.062462,-0.269787,-0.135201,-0.253882,-0.269787
154.218750,-0.062077,-0.268759,-0.133131,-0.251088,-0.268759
154.687500,-0.061778,-0.267739,-0.131107,-0.248304,-0.267739
155.156250,-0.061568,-0.266728,-0.129129,-0.245529,-0.266728
155.625000,-0.061451,-0.265727,-0.127198,-0.242765,-0.265727
156.093750,-0.061430,-0.264735,-0.125315,-0.240011,-0.264735
