time_s,raw,expanding_mean,rm_90s
60.000000,-0.836417,-0.836417,-0.836417
60.468750,-0.836880,-0.836649,-0.836649
60.937500,-0.837337,-0.836878,-0.836878
61.406250,-0.837787,-0.837105,-0.837105
61.875000,-0.838228,-0.837330,-0.837330
62.343750,-0.838661,-0.837552,-0.837552
62.812500,-0.839083,-0.837770,-0.837770
63.281250,-0.839494,-0.837986,-0.837986
63.750000,-0.839892,-0.838198,-0.838198
64.218750,-0.840277,-0.838406,-0.838406
64.687500,-0.840648,-0.838610,-0.838610
65.156250,-0.841004,-0.838809,-0.838809
65.625000,-0.841343,-0.839004,-0.839004
66.093750,-0.841665,-0.839194,-0.839194
66.562500,-0.841970,-0.839379,-0.839379
67.031250,-0.842256,-0.839559,-0.839559
67.500000,-0.842522,-0.839733,-0.839733
67.968750,-0.842769,-0.839902,-0.839902
68.437500,-0.842995,-0.840065,-0.840065
68.906250,-0.843201,-0.840222,-0.840222
69.375000,-0.843386,-0.840372,-0.840372
69.843750,-0.843549,-0.840517,-0.840517
70.312500,-0.843691,-0.840655,-0.840655
70.781250,-0.843811,-0.840786,-0.840786
71.250000,-0.843910,-0.840911,-0.840911
71.718750,-0.843986,-0.841029,-0.841029
72.187500,-0.844041,-0.841141,-0.841141
72.656250,-0.844074,-0.841246,-0.841246
73.125000,-0.844086,-0.841344,-0.841344
73.593750,-0.844076,-0.841435,-0.841435
74.062500,-0.844045,-0.841519,-0.841519
74.531250,-0.843993,-0.841596,-0.841596
75.000000,-0.843919,-0.841667,-0.841667
75.468750,-0.843825,-0.841730,-0.841730
75.937500,-0.843711,-0.841787,-0.841787
76.406250,-0.843575,-0.841836,-0.841836
76.875000,-0.843419,-0.841879,-0.841879
77.343750,-0.843243,-0.841915,-0.841915
77.812500,-0.843046,-0.841944,-0.841944
78.281250,-0.842829,-0.841966,-0.841966
78.750000,-0.842591,-0.841981,-0.841981
79.218750,-0.842332,-0.841990,-0.841990
79.687500,-0.842053,-0.841991,-0.841991
80.156250,-0.841752,-0.841986,-0.841986
80.625000,-0.841430,-0.841973,-0.841973
81.093750,-0.841085,-0.841954,-0.841954
81.562500,-0.840718,-0.841928,-0.841928
82.031250,-0.840329,-0.841894,-0.841894
82.500000,-0.839915,-0.841854,-0.841854
82.968750,-0.839477,-0.841807,-0.841807
83.437500,-0.839015,-0.841752,-0.841752
83.906250,-0.838526,-0.841690,-0.841690
84.375000,-0.838011,-0.841620,-0.841620
84.843750,-0.837467,-0.841543,-0.841543
85.312500,-0.836895,-0.841459,-0.841459
85.781250,-0.836293,-0.841367,-0.841367
86.250000,-0.835659,-0.841267,-0.841267
86.718750,-0.834993,-0.841158,-0.841158
87.187500,-0.834294,-0.841042,-0.841042
87.656250,-0.833559,-0.840917,-0.840917
88.125000,-0.832787,-0.840784,-0.840784
88.593750,-0.831977,-0.840642,-0.840642
89.062500,-0.831127,-0.840491,-0.840491
89.531250,-0.830235,-0.840331,-0.840331
90.000000,-0.829300,-0.840161,-0.840161
90.468750,-0.828320,-0.839982,-0.839982
90.937500,-0.827293,-0.839792,-0.839792
91.406250,-0.826217,-0.839593,-0.839593
91.875000,-0.825090,-0.839382,-0.839382
92.343750,-0.823911,-0.839161,-0.839161
92.812500,-0.822678,-0.838929,-0.838929
93.281250,-0.821387,-0.838686,-0.838686
93.750000,-0.820039,-0.838430,-0.838430
94.218750,-0.818630,-0.838163,-0.838163
94.687500,-0.817158,-0.837883,-0.837883
95.156250,-0.815622,-0.837590,-0.837590
95.625000,-0.814020,-0.837283,-0.837283
96.093750,-0.812349,-0.836964,-0.836964
96.562500,-0.810609,-0.836630,-0.836630
97.031250,-0.808797,-0.836282,-0.836282
97.500000,-0.806913,-0.835920,-0.835920
97.968750,-0.804953,-0.835542,-0.835542
98.437500,-0.802918,-0.835149,-0.835149
98.906250,-0.800806,-0.834740,-0.834740
99.375000,-0.798616,-0.834315,-0.834315
99.843750,-0.796348,-0.833874,-0.833874
100.312500,-0.794000,-0.833415,-0.833415
100.781250,-0.791573,-0.832940,-0.832940
101.250000,-0.789067,-0.832447,-0.832447
101.718750,-0.786482,-0.831936,-0.831936
102.187500,-0.783818,-0.831407,-0.831407
102.656250,-0.781078,-0.830860,-0.830860
103.125000,-0.778262,-0.830295,-0.830295
103.593750,-0.775371,-0.829711,-0.829711
104.062500,-0.772410,-0.829107,-0.829107
104.531250,-0.769379,-0.828485,-0.828485
105.000000,-0.766283,-0.827844,-0.827844
105.468750,-0.763124,-0.827184,-0.827184
105.937500,-0.759908,-0.826504,-0.826504
106.406250,-0.756639,-0.825805,-0.825805
106.875000,-0.753321,-0.825088,-0.825088
107.343750,-0.749960,-0.824351,-0.824351
107.812500,-0.746563,-0.823596,-0.823596
108.281250,-0.743136,-0.822822,-0.822822
108.750000,-0.739685,-0.822030,-0.822030
109.218750,-0.736219,-0.821221,-0.821221
109.687500,-0.732744,-0.820394,-0.820394
110.156250,-0.729269,-0.819550,-0.819550
110.625000,-0.725802,-0.818690,-0.818690
111.093750,-0.722350,-0.817814,-0.817814
111.562500,-0.718924,-0.816923,-0.816923
112.031250,-0.715531,-0.816018,-0.816018
112.500000,-0.712181,-0.815099,-0.815099
112.968750,-0.708881,-0.814168,-0.814168
113.437500,-0.705641,-0.813224,-0.813224
113.906250,-0.702469,-0.812269,-0.812269
114.375000,-0.699373,-0.811304,-0.811304
114.843750,-0.696361,-0.810330,-0.810330
115.312500,-0.693440,-0.809348,-0.809348
115.781250,-0.690618,-0.808358,-0.808358
116.250000,-0.687902,-0.807363,-0.807363
116.718750,-0.685297,-0.806362,-0.806362
117.187500,-0.682808,-0.805358,-0.805358
117.656250,-0.680442,-0.804350,-0.804350
118.125000,-0.678202,-0.803341,-0.803341
118.593750,-0.676092,-0.802331,-0.802331
119.062500,-0.674115,-0.801322,-0.801322
119.531250,-0.672273,-0.800314,-0.800314
120.000000,-0.670569,-0.799308,-0.799308
120.468750,-0.669003,-0.798305,-0.798305
120.937500,-0.667576,-0.797308,-0.797308
121.406250,-0.666287,-0.796315,-0.796315
121.875000,-0.665136,-0.795329,-0.795329
122.343750,-0.664122,-0.794349,-0.794349
122.812500,-0.663242,-0.793378,-0.793378
123.281250,-0.662495,-0.792416,-0.792416
123.750000,-0.661877,-0.791463,-0.791463
124.218750,-0.661385,-0.790520,-0.790520
124.687500,-0.661016,-0.789589,-0.789589
125.156250,-0.660767,-0.788669,-0.788669
125.625000,-0.660632,-0.787761,-0.787761
126.093750,-0.660607,-0.786865,-0.786865
126.562500,-0.660688,-0.785983,-0.785983
127.031250,-0.660871,-0.785114,-0.785114
127.500000,-0.661149,-0.784259,-0.784259
127.968750,-0.661519,-0.783418,-0.783418
128.437500,-0.661975,-0.782592,-0.782592
128.906250,-0.662512,-0.781781,-0.781781
129.375000,-0.663126,-0.780984,-0.780984
129.843750,-0.663810,-0.780203,-0.780203
130.312500,-0.664561,-0.779437,-0.779437
130.781250,-0.665373,-0.778687,-0.778687
131.250000,-0.666241,-0.777952,-0.777952
131.718750,-0.667161,-0.777233,-0.777233
132.187500,-0.668128,-0.776529,-0.776529
132.656250,-0.669137,-0.775840,-0.775840
133.125000,-0.670184,-0.775167,-0.775167
133.593750,-0.671265,-0.774510,-0.774510
134.062500,-0.672375,-0.773867,-0.773867
134.531250,-0.673510,-0.773240,-0.773240
135.000000,-0.674666,-0.772628,-0.772628
135.468750,-0.675839,-0.772031,-0.772031
135.937500,-0.677025,-0.771448,-0.771448
136.406250,-0.678221,-0.770879,-0.770879
136.875000,-0.679423,-0.770325,-0.770325
137.343750,-0.680627,-0.769785,-0.769785
137.812500,-0.681829,-0.769258,-0.769258
138.281250,-0.683026,-0.768745,-0.768745
138.750000,-0.684216,-0.768244,-0.768244
139.218750,-0.685393,-0.767757,-0.767757
139.687500,-0.686556,-0.767282,-0.767282
140.156250,-0.687701,-0.766820,-0.766820
140.625000,-0.688824,-0.766369,-0.766369
141.093750,-0.689922,-0.765929,-0.765929
141.562500,-0.690992,-0.765501,-0.765501
142.031250,-0.692030,-0.765084,-0.765084
142.500000,-0.693034,-0.764677,-0.764677
142.968750,-0.694000,-0.764280,-0.764280
143.437500,-0.694925,-0.763892,-0.763892
143.906250,-0.695805,-0.763514,-0.763514
144.375000,-0.696637,-0.763144,-0.763144
144.843750,-0.697418,-0.762783,-0.762783
145.312500,-0.698143,-0.762430,-0.762430
145.781250,-0.698811,-0.762084,-0.762084
146.250000,-0.699417,-0.761746,-0.761746
146.718750,-0.699957,-0.761413,-0.761413
147.187500,-0.700429,-0.761087,-0.761087
147.656250,-0.700827,-0.760767,-0.760767
148.125000,-0.701150,-0.760451,-0.760451
148.593750,-0.701392,-0.760140,-0.760140
149.062500,-0.701551,-0.759834,-0.759834
149.531250,-0.701622,-0.759530,-0.759530
150.000000,-0.701602,-0.759230,-0.758828
150.468750,-0.701487,-0.758933,-0.758123
150.937500,-0.701273,-0.758637,-0.757414
151.406250,-0.700956,-0.758343,-0.756702
151.875000,-0.700532,-0.758049,-0.755985
152.343750,-0.699998,-0.757756,-0.755262
152.812500,-0.699350,-0.757463,-0.754535
153.281250,-0.698583,-0.757168,-0.753801
153.750000,-0.697695,-0.756872,-0.753060
154.218750,-0.696682,-0.756574,-0.752312
154.687500,-0.695539,-0.756274,-0.751556
155.156250,-0.694265,-0.755970,-0.750792
155.625000,-0.692854,-0.755662,-0.750019
156.093750,-0.691305,-0.755349,-0.749236
156.562500,-0.689613,-0.755032,-0.748442
157.031250,-0.687777,-0.754708,-0.747638
157.500000,-0.685792,-0.754379,-0.746821
157.968750,-0.683658,-0.754042,-0.745993
158.437500,-0.681371,-0.753698,-0.745151
158.906250,-0.678929,-0.753345,-0.744295
159.375000,-0.676331,-0.752983,-0.743425
159.843750,-0.673575,-0.752612,-0.742540
160.312500,-0.670661,-0.752231,-0.741639
160.781250,-0.667586,-0.751839,-0.740721
161.250000,-0.664352,-0.751436,-0.739786
161.718750,-0.660958,-0.751021,-0.738832
162.187500,-0.657404,-0.750593,-0.737860
162.656250,-0.653692,-0.750153,-0.736869
163.125000,-0.649823,-0.749699,-0.735857
163.593750,-0.645798,-0.749231,-0.734824
164.062500,-0.641621,-0.748748,-0.733770
164.531250,-0.637294,-0.748251,-0.732693
165.000000,-0.632820,-0.747738,-0.731594
165.468750,-0.628205,-0.747209,-0.730471
165.937500,-0.623453,-0.746664,-0.729324
166.406250,-0.618569,-0.746102,-0.728152
166.875000,-0.613559,-0.745523,-0.726955
167.343750,-0.608430,-0.744927,-0.725732
167.812500,-0.603188,-0.744314,-0.724482
168.281250,-0.597843,-0.743682,-0.723206
168.750000,-0.592402,-0.743033,-0.721903
169.218750,-0.586874,-0.742366,-0.720573
169.687500,-0.581269,-0.741680,-0.719215
170.156250,-0.575596,-0.740976,-0.717828
170.625000,-0.569867,-0.740254,-0.716414
171.093750,-0.564093,-0.739514,-0.714971
171.562500,-0.558284,-0.738756,-0.713500
172.031250,-0.552453,-0.737980,-0.712001
172.500000,-0.546611,-0.737186,-0.710473
172.968750,-0.540772,-0.736374,-0.708917
173.437500,-0.534948,-0.735545,-0.707334
173.906250,-0.529150,-0.734699,-0.705722
174.375000,-0.523393,-0.733837,-0.704084
174.843750,-0.517688,-0.732958,-0.702418
175.312500,-0.512048,-0.732064,-0.700726
175.781250,-0.506486,-0.731154,-0.699009
176.250000,-0.501014,-0.730230,-0.697266
176.718750,-0.495644,-0.729291,-0.695498
177.187500,-0.490386,-0.728340,-0.693707
177.656250,-0.485253,-0.727375,-0.691893
178.125000,-0.480255,-0.726398,-0.690057
