time_s,raw,expanding_mean,rm_90s
116.250000,-0.780107,-0.779703,-0.779703
116.718750,-0.777318,-0.779684,-0.779684
117.187500,-0.774419,-0.779641,-0.779641
117.656250,-0.771412,-0.779574,-0.779574
118.125000,-0.768296,-0.779484,-0.779484
118.593750,-0.765073,-0.779370,-0.779370
119.062500,-0.761743,-0.779231,-0.779231
119.531250,-0.758310,-0.779068,-0.779068
120.000000,-0.754774,-0.778879,-0.778879
120.468750,-0.751139,-0.778666,-0.778666
120.937500,-0.747406,-0.778427,-0.778427
121.406250,-0.743579,-0.778163,-0.778163
121.875000,-0.739661,-0.777874,-0.777874
122.343750,-0.735655,-0.777559,-0.777559
122.812500,-0.731565,-0.777218,-0.777218
123.281250,-0.727394,-0.776852,-0.776852
123.750000,-0.723148,-0.776460,-0.776460
124.218750,-0.718829,-0.776042,-0.776042
124.687500,-0.714443,-0.775599,-0.775599
125.156250,-0.709993,-0.775130,-0.775130
125.625000,-0.705485,-0.774636,-0.774636
126.093750,-0.700921,-0.774117,-0.774117
126.562500,-0.696307,-0.773573,-0.773573
127.031250,-0.691647,-0.773004,-0.773004
127.500000,-0.686945,-0.772411,-0.772411
127.968750,-0.682205,-0.771793,-0.771793
128.437500,-0.677432,-0.771151,-0.771151
128.906250,-0.672628,-0.770485,-0.770485
129.375000,-0.667798,-0.769796,-0.769796
129.843750,-0.662945,-0.769084,-0.769084
130.312500,-0.658072,-0.768348,-0.768348
130.781250,-0.653182,-0.767591,-0.767591
131.250000,-0.648279,-0.766811,-0.766811
131.718750,-0.643364,-0.766009,-0.766009
132.187500,-0.638440,-0.765186,-0.765186
132.656250,-0.633510,-0.764342,-0.764342
133.125000,-0.628574,-0.763478,-0.763478
133.593750,-0.623635,-0.762592,-0.762592
134.062500,-0.618695,-0.761687,-0.761687
134.531250,-0.613753,-0.760763,-0.760763
135.000000,-0.608812,-0.759819,-0.759819
135.468750,-0.603872,-0.758856,-0.758856
135.937500,-0.598933,-0.757875,-0.757875
136.406250,-0.593996,-0.756876,-0.756876
136.875000,-0.589061,-0.755859,-0.755859
