time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.590558,-0.590558,-0.590558,-0.590558,-0.590558
60.468750,-0.590332,-0.590445,-0.590445,-0.590445,-0.590445
60.937500,-0.590217,-0.590369,-0.590369,-0.590369,-0.590369
61.406250,-0.590213,-0.590330,-0.590330,-0.590330,-0.590330
61.875000,-0.590316,-0.590327,-0.590327,-0.590327,-0.590327
62.343750,-0.590524,-0.590360,-0.590360,-0.590360,-0.590360
62.812500,-0.590832,-0.590427,-0.590427,-0.590427,-0.590427
63.281250,-0.591234,-0.590528,-0.590528,-0.590528,-0.590528
63.750000,-0.591726,-0.590661,-0.590661,-0.590661,-0.590661
64.218750,-0.592300,-0.590825,-0.590825,-0.590825,-0.590825
64.687500,-0.592950,-0.591018,-0.591018,-0.591018,-0.591018
65.156250,-0.593668,-0.591239,-0.591239,-0.591239,-0.591239
65.625000,-0.594446,-0.591486,-0.591486,-0.591486,-0.591486
66.093750,-0.595274,-0.591756,-0.591756,-0.591756,-0.591756
66.562500,-0.596144,-0.592049,-0.592049,-0.592049,-0.592049
67.031250,-0.597046,-0.592361,-0.592361,-0.592361,-0.592361
67.500000,-0.597972,-0.592691,-0.592691,-0.592691,-0.592691
67.968750,-0.598911,-0.593037,-0.593037,-0.593037,-0.593037
68.437500,-0.599854,-0.593396,-0.593396,-0.593396,-0.593396
68.906250,-0.600791,-0.593765,-0.593765,-0.593765,-0.593765
69.375000,-0.601715,-0.594144,-0.594144,-0.594144,-0.594144
69.843750,-0.602615,-0.594529,-0.594529,-0.594529,-0.594529
70.312500,-0.603483,-0.594918,-0.594918,-0.594918,-0.594918
70.781250,-0.604311,-0.595310,-0.595310,-0.595310,-0.595310
71.250000,-0.605092,-0.595701,-0.595701,-0.595701,-0.595701
71.718750,-0.605818,-0.596090,-0.596090,-0.596090,-0.596090
72.187500,-0.606483,-0.596475,-0.596475,-0.596475,-0.596475
72.656250,-0.607080,-0.596854,-0.596854,-0.596854,-0.596854
73.125000,-0.607605,-0.597224,-0.597224,-0.597224,-0.597224
73.593750,-0.608053,-0.597585,-0.597585,-0.597585,-0.597585
74.062500,-0.608419,-0.597935,-0.597935,-0.597935,-0.597935
74.531250,-0.608699,-0.598271,-0.598271,-0.598271,-0.598271
75.000000,-0.608891,-0.598593,-0.598593,-0.598593,-0.598593
75.468750,-0.608992,-0.598899,-0.598899,-0.598899,-0.598899
75.937500,-0.609000,-0.599188,-0.599188,-0.599188,-0.599188
76.406250,-0.608912,-0.599458,-0.599458,-0.599458,-0.599458
76.875000,-0.608729,-0.599708,-0.599708,-0.599708,-0.599708
77.343750,-0.608449,-0.599938,-0.599938,-0.599938,-0.599938
77.812500,-0.608073,-0.600147,-0.600147,-0.600147,-0.600147
78.281250,-0.607599,-0.600333,-0.600333,-0.600333,-0.600333
78.750000,-0.607029,-0.600496,-0.600496,-0.600496,-0.600496
79.218750,-0.606363,-0.600636,-0.600636,-0.600636,-0.600636
79.687500,-0.605601,-0.600752,-0.600752,-0.600752,-0.600752
80.156250,-0.604746,-0.600842,-0.600842,-0.600842,-0.600842
80.625000,-0.603798,-0.600908,-0.600908,-0.600908,-0.600908
81.093750,-0.602759,-0.600948,-0.600948,-0.600948,-0.600948
81.562500,-0.601631,-0.600963,-0.600963,-0.600963,-0.600963
82.031250,-0.600415,-0.600951,-0.600951,-0.600951,-0.600951
82.500000,-0.599113,-0.600914,-0.600914,-0.600914,-0.600914
82.968750,-0.597727,-0.600850,-0.600850,-0.600850,-0.600850
83.437500,-0.596260,-0.600760,-0.600760,-0.600760,-0.600760
83.906250,-0.594712,-0.600644,-0.600644,-0.600644,-0.600644
84.375000,-0.593087,-0.600501,-0.600501,-0.600501,-0.600501
84.843750,-0.591386,-0.600332,-0.600332,-0.600332,-0.600332
85.312500,-0.589612,-0.600138,-0.600138,-0.600138,-0.600138
85.781250,-0.587766,-0.599917,-0.599917,-0.599917,-0.599917
86.250000,-0.585852,-0.599670,-0.599670,-0.599670,-0.599670
86.718750,-0.583870,-0.599397,-0.599397,-0.599397,-0.599397
87.187500,-0.581823,-0.599100,-0.599100,-0.599100,-0.599100
87.656250,-0.579714,-0.598777,-0.598777,-0.598777,-0.598777
88.125000,-0.577543,-0.598428,-0.598428,-0.598428,-0.598428
88.593750,-0.575314,-0.598056,-0.598056,-0.598056,-0.598056
89.062500,-0.573028,-0.597658,-0.597658,-0.597658,-0.597658
89.531250,-0.570687,-0.597237,-0.597237,-0.597237,-0.597237
90.000000,-0.568293,-0.596792,-0.596792,-0.596792,-0.596792
90.468750,-0.565848,-0.596323,-0.596323,-0.596323,-0.596323
90.937500,-0.563355,-0.595831,-0.595831,-0.595831,-0.595831
91.406250,-0.560813,-0.595316,-0.595316,-0.595316,-0.595316
91.875000,-0.558227,-0.594778,-0.594778,-0.594778,-0.594778
92.343750,-0.555597,-0.594219,-0.594219,-0.594219,-0.594219
92.812500,-0.552924,-0.593637,-0.593637,-0.593637,-0.593637
93.281250,-0.550212,-0.593034,-0.593034,-0.593034,-0.593034
93.750000,-0.547462,-0.592409,-0.592409,-0.592409,-0.592409
94.218750,-0.544674,-0.591764,-0.591764,-0.591764,-0.591764
94.687500,-0.541851,-0.591099,-0.591099,-0.591099,-0.591099
95.156250,-0.538995,-0.590413,-0.590413,-0.590413,-0.590413
95.625000,-0.536108,-0.589708,-0.589708,-0.589708,-0.589708
96.093750,-0.533190,-0.588983,-0.588983,-0.588983,-0.588983
96.562500,-0.530244,-0.588240,-0.588240,-0.588240,-0.588240
97.031250,-0.527271,-0.587478,-0.587478,-0.587478,-0.587478
97.500000,-0.524274,-0.586698,-0.586698,-0.586698,-0.586698
97.968750,-0.521253,-0.585899,-0.585899,-0.585899,-0.585899
98.437500,-0.518210,-0.585084,-0.585084,-0.585084,-0.585084
98.906250,-0.515148,-0.584251,-0.584251,-0.584251,-0.584251
99.375000,-0.512068,-0.583402,-0.583402,-0.583402,-0.583402
99.843750,-0.508971,-0.582537,-0.582537,-0.582537,-0.582537
100.312500,-0.505860,-0.581655,-0.581655,-0.581655,-0.581655
100.781250,-0.502737,-0.580758,-0.580758,-0.580758,-0.580758
101.250000,-0.499603,-0.579847,-0.579847,-0.579847,-0.579847
101.718750,-0.496460,-0.578920,-0.578920,-0.578920,-0.578920
102.187500,-0.493311,-0.577979,-0.577979,-0.577979,-0.577979
102.656250,-0.490158,-0.577025,-0.577025,-0.577025,-0.577025
103.125000,-0.487003,-0.576057,-0.576057,-0.576057,-0.576057
103.593750,-0.483848,-0.575076,-0.575076,-0.575076,-0.575076
104.062500,-0.480695,-0.574082,-0.574082,-0.574082,-0.574082
104.531250,-0.477548,-0.573077,-0.573077,-0.573077,-0.573077
105.000000,-0.474407,-0.572060,-0.572060,-0.572060,-0.572060
105.468750,-0.471277,-0.571031,-0.571031,-0.571031,-0.571031
105.937500,-0.468160,-0.569992,-0.569992,-0.569992,-0.569992
106.406250,-0.465058,-0.568943,-0.568943,-0.568943,-0.568943
106.875000,-0.461975,-0.567884,-0.567884,-0.567884,-0.567884
107.343750,-0.458914,-0.566815,-0.566815,-0.566815,-0.566815
107.812500,-0.455876,-0.565738,-0.565738,-0.565738,-0.565738
108.281250,-0.452867,-0.564653,-0.564653,-0.564653,-0.564653
108.750000,-0.449889,-0.563560,-0.563560,-0.563560,-0.563560
109.218750,-0.446945,-0.562460,-0.562460,-0.562460,-0.562460
109.687500,-0.444039,-0.561353,-0.561353,-0.561353,-0.561353
110.156250,-0.441174,-0.560240,-0.560240,-0.560240,-0.560240
110.625000,-0.438355,-0.559122,-0.559122,-0.559122,-0.559122
111.093750,-0.435584,-0.557999,-0.557999,-0.557999,-0.557999
111.562500,-0.432866,-0.556872,-0.556872,-0.556872,-0.556872
112.031250,-0.430203,-0.555741,-0.555741,-0.555741,-0.555741
112.500000,-0.427602,-0.554607,-0.554607,-0.554607,-0.554607
112.968750,-0.425064,-0.553470,-0.553470,-0.553470,-0.553470
113.437500,-0.422594,-0.552332,-0.552332,-0.552332,-0.552332
113.906250,-0.420196,-0.551193,-0.551193,-0.551193,-0.551193
114.375000,-0.417873,-0.550054,-0.550054,-0.550054,-0.550054
114.843750,-0.415631,-0.548915,-0.548915,-0.548915,-0.548915
115.312500,-0.413471,-0.547776,-0.547776,-0.547776,-0.547776
115.781250,-0.411399,-0.546640,-0.546640,-0.546640,-0.546640
116.250000,-0.409418,-0.545506,-0.545506,-0.545506,-0.545506
116.718750,-0.407531,-0.544375,-0.544375,-0.544375,-0.544375
117.187500,-0.405743,-0.543248,-0.543248,-0.543248,-0.543248
117.656250,-0.404056,-0.542125,-0.542125,-0.542125,-0.542125
118.125000,-0.402473,-0.541008,-0.541008,-0.541008,-0.541008
118.593750,-0.400997,-0.539897,-0.539897,-0.539897,-0.539897
119.062500,-0.399632,-0.538792,-0.538792,-0.538792,-0.538792
119.531250,-0.398380,-0.537696,-0.537696,-0.537696,-0.537696
120.000000,-0.397243,-0.536607,-0.536185,-0.536607,-0.536607
120.468750,-0.396223,-0.535527,-0.534669,-0.535527,-0.535527
120.937500,-0.395322,-0.534457,-0.533146,-0.534457,-0.534457
121.406250,-0.394541,-0.533397,-0.531617,-0.533397,-0.533397
121.875000,-0.393881,-0.532348,-0.530083,-0.532348,-0.532348
122.343750,-0.393344,-0.531310,-0.528542,-0.531310,-0.531310
122.812500,-0.392929,-0.530285,-0.526996,-0.530285,-0.530285
123.281250,-0.392636,-0.529273,-0.525445,-0.529273,-0.529273
123.750000,-0.392466,-0.528275,-0.523888,-0.528275,-0.528275
124.218750,-0.392417,-0.527290,-0.522326,-0.527290,-0.527290
124.687500,-0.392488,-0.526320,-0.520760,-0.526320,-0.526320
125.156250,-0.392678,-0.525366,-0.519190,-0.525366,-0.525366
125.625000,-0.392984,-0.524427,-0.517616,-0.524427,-0.524427
126.093750,-0.393405,-0.523504,-0.516039,-0.523504,-0.523504
126.562500,-0.393936,-0.522598,-0.514459,-0.522598,-0.522598
127.031250,-0.394576,-0.521709,-0.512877,-0.521709,-0.521709
127.500000,-0.395320,-0.520837,-0.511294,-0.520837,-0.520837
127.968750,-0.396165,-0.519983,-0.509710,-0.519983,-0.519983
128.437500,-0.397105,-0.519147,-0.508126,-0.519147,-0.519147
128.906250,-0.398137,-0.518330,-0.506543,-0.518330,-0.518330
129.375000,-0.399255,-0.517531,-0.504961,-0.517531,-0.517531
129.843750,-0.400454,-0.516750,-0.503382,-0.516750,-0.516750
130.312500,-0.401727,-0.515988,-0.501806,-0.515988,-0.515988
130.781250,-0.403070,-0.515246,-0.500234,-0.515246,-0.515246
131.250000,-0.404476,-0.514522,-0.498666,-0.514522,-0.514522
131.718750,-0.405938,-0.513816,-0.497105,-0.513816,-0.513816
132.187500,-0.407450,-0.513130,-0.495550,-0.513130,-0.513130
132.656250,-0.409006,-0.512463,-0.494002,-0.512463,-0.512463
133.125000,-0.410598,-0.511814,-0.492463,-0.511814,-0.511814
133.593750,-0.412220,-0.511184,-0.490933,-0.511184,-0.511184
134.062500,-0.413866,-0.510572,-0.489413,-0.510572,-0.510572
134.531250,-0.415527,-0.509978,-0.487904,-0.509978,-0.509978
135.000000,-0.417197,-0.509401,-0.486407,-0.509401,-0.509401
135.468750,-0.418871,-0.508842,-0.484921,-0.508842,-0.508842
135.937500,-0.420540,-0.508301,-0.483449,-0.508301,-0.508301
136.406250,-0.422199,-0.507776,-0.481990,-0.507776,-0.507776
136.875000,-0.423842,-0.507267,-0.480546,-0.507267,-0.507267
137.343750,-0.425461,-0.506774,-0.479116,-0.506774,-0.506774
137.812500,-0.427052,-0.506297,-0.477702,-0.506297,-0.506297
138.281250,-0.428609,-0.505834,-0.476304,-0.505834,-0.505834
138.750000,-0.430125,-0.505386,-0.474921,-0.505386,-0.505386
139.218750,-0.431597,-0.504952,-0.473556,-0.504952,-0.504952
139.687500,-0.433020,-0.504532,-0.472208,-0.504532,-0.504532
140.156250,-0.434387,-0.504124,-0.470877,-0.504124,-0.504124
140.625000,-0.435696,-0.503728,-0.469564,-0.503728,-0.503728
141.093750,-0.436941,-0.503345,-0.468268,-0.503345,-0.503345
141.562500,-0.438120,-0.502972,-0.466991,-0.502972,-0.502972
142.031250,-0.439227,-0.502610,-0.465731,-0.502610,-0.502610
142.500000,-0.440261,-0.502257,-0.464490,-0.502257,-0.502257
142.968750,-0.441216,-0.501914,-0.463268,-0.501914,-0.501914
143.437500,-0.442091,-0.501580,-0.462063,-0.501580,-0.501580
143.906250,-0.442882,-0.501254,-0.460877,-0.501254,-0.501254
144.375000,-0.443587,-0.500936,-0.459709,-0.500936,-0.500936
144.843750,-0.444203,-0.500624,-0.458559,-0.500624,-0.500624
145.312500,-0.444727,-0.500318,-0.457427,-0.500318,-0.500318
145.781250,-0.445156,-0.500019,-0.456313,-0.500019,-0.500019
146.250000,-0.445487,-0.499724,-0.455217,-0.499724,-0.499724
146.718750,-0.445719,-0.499433,-0.454137,-0.499433,-0.499433
147.187500,-0.445849,-0.499147,-0.453075,-0.499147,-0.499147
147.656250,-0.445874,-0.498864,-0.452029,-0.498864,-0.498864
148.125000,-0.445790,-0.498583,-0.451000,-0.498583,-0.498583
148.593750,-0.445596,-0.498304,-0.449987,-0.498304,-0.498304
149.062500,-0.445289,-0.498026,-0.448989,-0.498026,-0.498026
149.531250,-0.444865,-0.497749,-0.448006,-0.497749,-0.497749
150.000000,-0.444321,-0.497473,-0.447037,-0.496988,-0.497473
150.468750,-0.443653,-0.497195,-0.446082,-0.496224,-0.497195
150.937500,-0.442859,-0.496917,-0.445141,-0.495456,-0.496917
151.406250,-0.441934,-0.496636,-0.444212,-0.494684,-0.496636
151.875000,-0.440873,-0.496353,-0.443296,-0.493906,-0.496353
152.343750,-0.439674,-0.496067,-0.442390,-0.493120,-0.496067
152.812500,-0.438332,-0.495777,-0.441495,-0.492326,-0.495777
153.281250,-0.436841,-0.495482,-0.440609,-0.491522,-0.495482
153.750000,-0.435197,-0.495182,-0.439732,-0.490706,-0.495182
154.218750,-0.433396,-0.494876,-0.438862,-0.489879,-0.494876
154.687500,-0.431432,-0.494564,-0.438000,-0.489037,-0.494564
155.156250,-0.429300,-0.494244,-0.437143,-0.488181,-0.494244
155.625000,-0.426993,-0.493916,-0.436290,-0.487309,-0.493916
156.093750,-0.424507,-0.493579,-0.435441,-0.486420,-0.493579
156.562500,-0.421836,-0.493232,-0.434594,-0.485512,-0.493232
157.031250,-0.418974,-0.492875,-0.433748,-0.484585,-0.492875
157.500000,-0.415914,-0.492507,-0.432902,-0.483636,-0.492507
157.968750,-0.412652,-0.492127,-0.432053,-0.482666,-0.492127
158.437500,-0.409179,-0.491733,-0.431201,-0.481673,-0.491733
158.906250,-0.405492,-0.491327,-0.430345,-0.480656,-0.491327
159.375000,-0.401584,-0.490905,-0.429482,-0.479614,-0.490905
159.843750,-0.397448,-0.490469,-0.428610,-0.478545,-0.490469
160.312500,-0.393080,-0.490016,-0.427729,-0.477449,-0.490016
160.781250,-0.388473,-0.489546,-0.426837,-0.476325,-0.489546
161.250000,-0.383623,-0.489057,-0.425930,-0.475172,-0.489057
161.718750,-0.378524,-0.488550,-0.425009,-0.473988,-0.488550
162.187500,-0.373171,-0.488024,-0.424071,-0.472773,-0.488024
162.656250,-0.367560,-0.487476,-0.423113,-0.471525,-0.487476
163.125000,-0.361687,-0.486907,-0.422134,-0.470244,-0.486907
163.593750,-0.355548,-0.486315,-0.421131,-0.468929,-0.486315
164.062500,-0.349141,-0.485700,-0.420104,-0.467579,-0.485700
164.531250,-0.342463,-0.485060,-0.419048,-0.466192,-0.485060
165.000000,-0.335512,-0.484396,-0.417963,-0.464768,-0.484396
165.468750,-0.328287,-0.483705,-0.416846,-0.463306,-0.483705
165.937500,-0.320788,-0.482987,-0.415695,-0.461805,-0.482987
166.406250,-0.313016,-0.482242,-0.414507,-0.460264,-0.482242
166.875000,-0.304971,-0.481468,-0.413280,-0.458682,-0.481468
167.343750,-0.296655,-0.480664,-0.412013,-0.457058,-0.480664
167.812500,-0.288072,-0.479831,-0.410702,-0.455391,-0.479831
168.281250,-0.279225,-0.478966,-0.409345,-0.453681,-0.478966
168.750000,-0.270120,-0.478069,-0.407941,-0.451926,-0.478069
169.218750,-0.260762,-0.477141,-0.406486,-0.450126,-0.477141
169.687500,-0.251159,-0.476179,-0.404979,-0.448280,-0.476179
170.156250,-0.241318,-0.475184,-0.403418,-0.446387,-0.475184
170.625000,-0.231248,-0.474155,-0.401800,-0.444447,-0.474155
171.093750,-0.220960,-0.473091,-0.400123,-0.442458,-0.473091
171.562500,-0.210464,-0.471992,-0.398385,-0.440421,-0.471992
172.031250,-0.199773,-0.470858,-0.396585,-0.438334,-0.470858
172.500000,-0.188899,-0.469688,-0.394720,-0.436198,-0.469688
172.968750,-0.177855,-0.468482,-0.392789,-0.434011,-0.468482
173.437500,-0.166657,-0.467240,-0.390790,-0.431774,-0.467240
173.906250,-0.155320,-0.465962,-0.388720,-0.429485,-0.465962
174.375000,-0.143859,-0.464647,-0.386579,-0.427145,-0.464647
174.843750,-0.132292,-0.463296,-0.384366,-0.424754,-0.463296
175.312500,-0.120636,-0.461908,-0.382078,-0.422312,-0.461908
175.781250,-0.108909,-0.460485,-0.379715,-0.419818,-0.460485
176.250000,-0.097129,-0.459026,-0.377275,-0.417272,-0.459026
176.718750,-0.085314,-0.457531,-0.374758,-0.414675,-0.457531
