time_s,raw,expanding_mean,rm_60s,rm_90s,rm_120s
60.000000,-0.853909,-0.853909,-0.853909,-0.853909,-0.853909
60.468750,-0.854410,-0.854160,-0.854160,-0.854160,-0.854160
60.937500,-0.854937,-0.854419,-0.854419,-0.854419,-0.854419
61.406250,-0.855490,-0.854686,-0.854686,-0.854686,-0.854686
61.875000,-0.856068,-0.854963,-0.854963,-0.854963,-0.854963
62.343750,-0.856671,-0.855247,-0.855247,-0.855247,-0.855247
62.812500,-0.857297,-0.855540,-0.855540,-0.855540,-0.855540
63.281250,-0.857944,-0.855841,-0.855841,-0.855841,-0.855841
63.750000,-0.858612,-0.856148,-0.856148,-0.856148,-0.856148
64.218750,-0.859296,-0.856463,-0.856463,-0.856463,-0.856463
64.687500,-0.859996,-0.856784,-0.856784,-0.856784,-0.856784
65.156250,-0.860709,-0.857111,-0.857111,-0.857111,-0.857111
65.625000,-0.861431,-0.857444,-0.857444,-0.857444,-0.857444
66.093750,-0.862159,-0.857781,-0.857781,-0.857781,-0.857781
66.562500,-0.862892,-0.858121,-0.858121,-0.858121,-0.858121
67.031250,-0.863625,-0.858465,-0.858465,-0.858465,-0.858465
67.500000,-0.864355,-0.858812,-0.858812,-0.858812,-0.858812
67.968750,-0.865079,-0.859160,-0.859160,-0.859160,-0.859160
68.437500,-0.865794,-0.859509,-0.859509,-0.859509,-0.859509
68.906250,-0.866498,-0.859858,-0.859858,-0.859858,-0.859858
69.375000,-0.867186,-0.860207,-0.860207,-0.860207,-0.860207
69.843750,-0.867857,-0.860555,-0.860555,-0.860555,-0.860555
70.312500,-0.868507,-0.860901,-0.860901,-0.860901,-0.860901
70.781250,-0.869135,-0.861244,-0.861244,-0.861244,-0.861244
71.250000,-0.869738,-0.861584,-0.861584,-0.861584,-0.861584
71.718750,-0.870315,-0.861919,-0.861919,-0.861919,-0.861919
72.187500,-0.870863,-0.862251,-0.862251,-0.862251,-0.862251
72.656250,-0.871382,-0.862577,-0.862577,-0.862577,-0.862577
73.125000,-0.871870,-0.862897,-0.862897,-0.862897,-0.862897
73.593750,-0.872326,-0.863212,-0.863212,-0.863212,-0.863212
74.062500,-0.872751,-0.863519,-0.863519,-0.863519,-0.863519
74.531250,-0.873142,-0.863820,-0.863820,-0.863820,-0.863820
75.000000,-0.873501,-0.864113,-0.864113,-0.864113,-0.864113
75.468750,-0.873827,-0.864399,-0.864399,-0.864399,-0.864399
75.937500,-0.874120,-0.864677,-0.864677,-0.864677,-0.864677
76.406250,-0.874381,-0.864946,-0.864946,-0.864946,-0.864946
76.875000,-0.874610,-0.865208,-0.865208,-0.865208,-0.865208
77.343750,-0.874808,-0.865460,-0.865460,-0.865460,-0.865460
77.812500,-0.874975,-0.865704,-0.865704,-0.865704,-0.865704
78.281250,-0.875112,-0.865939,-0.865939,-0.865939,-0.865939
78.750000,-0.875221,-0.866166,-0.866166,-0.866166,-0.866166
79.218750,-0.875301,-0.866383,-0.866383,-0.866383,-0.866383
79.687500,-0.875353,-0.866592,-0.866592,-0.866592,-0.866592
80.156250,-0.875380,-0.866792,-0.866792,-0.866792,-0.866792
80.625000,-0.875381,-0.866982,-0.866982,-0.866982,-0.866982
81.093750,-0.875358,-0.867165,-0.867165,-0.867165,-0.867165
81.562500,-0.875311,-0.867338,-0.867338,-0.867338,-0.867338
82.031250,-0.875241,-0.867502,-0.867502,-0.867502,-0.867502
82.500000,-0.875150,-0.867659,-0.867659,-0.867659,-0.867659
82.968750,-0.875038,-0.867806,-0.867806,-0.867806,-0.867806
83.437500,-0.874906,-0.867945,-0.867945,-0.867945,-0.867945
83.906250,-0.874754,-0.868076,-0.868076,-0.868076,-0.868076
84.375000,-0.874584,-0.868199,-0.868199,-0.868199,-0.868199
84.843750,-0.874396,-0.868314,-0.868314,-0.868314,-0.868314
85.312500,-0.874191,-0.868421,-0.868421,-0.868421,-0.868421
85.781250,-0.873969,-0.868520,-0.868520,-0.868520,-0.868520
86.250000,-0.873731,-0.868611,-0.868611,-0.868611,-0.868611
86.718750,-0.873477,-0.868695,-0.868695,-0.868695,-0.868695
87.187500,-0.873208,-0.868772,-0.868772,-0.868772,-0.868772
87.656250,-0.872925,-0.868841,-0.868841,-0.868841,-0.868841
88.125000,-0.872627,-0.868903,-0.868903,-0.868903,-0.868903
88.593750,-0.872315,-0.868958,-0.868958,-0.868958,-0.868958
89.062500,-0.871989,-0.869006,-0.869006,-0.869006,-0.869006
89.531250,-0.871650,-0.869047,-0.869047,-0.869047,-0.869047
90.000000,-0.871298,-0.869082,-0.869082,-0.869082,-0.869082
90.468750,-0.870933,-0.869110,-0.869110,-0.869110,-0.869110
90.937500,-0.870555,-0.869132,-0.869132,-0.869132,-0.869132
91.406250,-0.870164,-0.869147,-0.869147,-0.869147,-0.869147
91.875000,-0.869761,-0.869156,-0.869156,-0.869156,-0.869156
92.343750,-0.869345,-0.869158,-0.869158,-0.869158,-0.869158
92.812500,-0.868916,-0.869155,-0.869155,-0.869155,-0.869155
93.281250,-0.868475,-0.869146,-0.869146,-0.869146,-0.869146
93.750000,-0.868022,-0.869130,-0.869130,-0.869130,-0.869130
94.218750,-0.867555,-0.869109,-0.869109,-0.869109,-0.869109
94.687500,-0.867076,-0.869082,-0.869082,-0.869082,-0.869082
95.156250,-0.866583,-0.869049,-0.869049,-0.869049,-0.869049
95.625000,-0.866077,-0.869010,-0.869010,-0.869010,-0.869010
96.093750,-0.865557,-0.868966,-0.868966,-0.868966,-0.868966
96.562500,-0.865023,-0.868916,-0.868916,-0.868916,-0.868916
97.031250,-0.864474,-0.868861,-0.868861,-0.868861,-0.868861
97.500000,-0.863910,-0.868799,-0.868799,-0.868799,-0.868799
97.968750,-0.863329,-0.868733,-0.868733,-0.868733,-0.868733
98.437500,-0.862732,-0.868660,-0.868660,-0.868660,-0.868660
98.906250,-0.862116,-0.868583,-0.868583,-0.868583,-0.868583
99.375000,-0.861482,-0.868499,-0.868499,-0.868499,-0.868499
99.843750,-0.860826,-0.868410,-0.868410,-0.868410,-0.868410
100.312500,-0.860149,-0.868315,-0.868315,-0.868315,-0.868315
100.781250,-0.859448,-0.868214,-0.868214,-0.868214,-0.868214
101.250000,-0.858721,-0.868107,-0.868107,-0.868107,-0.868107
101.718750,-0.857966,-0.867995,-0.867995,-0.867995,-0.867995
