metric,contrast,n,mean_first,mean_second,mean_difference,mean_difference_ci_low,mean_difference_ci_high,median_difference,median_difference_ci_low,median_difference_ci_high,cohens_dz,cohens_dz_ci_low,cohens_dz_ci_high,wilcoxon_statistic,wilcoxon_p_two_sided,wilcoxon_method,n_negative,n_positive,n_zero,bootstrap_method,bootstrap_resamples,bootstrap_seed_mean,bootstrap_seed_median,bootstrap_seed_dz,finite_bootstrap_mean,finite_bootstrap_median,finite_bootstrap_dz
BRS_seq_all,Stim-Pre,18,6.486058058059438,8.536766245467902,-2.0507081874084636,-3.8125937386490705,-1.09512491343104,-0.806706131981157,-2.0765380791988486,-0.34859369899569037,-0.7402088779335922,-0.9744419861335122,-0.4884116512252421,2.0,2.288818359375e-05,scipy_auto_exact_eligible,17,1,0,participant_level_BCa,10000,20260805,20260806,20260807,10000,10000,10000
BRS_seq_all,Post-Pre,18,7.467360758014258,8.536766245467902,-1.0694054874536427,-3.570164551623062,0.07330087644360919,-0.5334689673118929,-1.2725680200813425,0.44416554089903837,-0.29551878361016803,-0.6131118817585193,0.200090584963949,58.0,0.24620819091796875,scipy_auto_exact_eligible,12,6,0,participant_level_BCa,10000,20260815,20260816,20260817,10000,10000,10000
BRS_seq_all,Post-Stim,18,7.467360758014258,6.486058058059438,0.9813026999548207,0.06620184768321143,2.2507185107339898,0.37410886557746936,-0.1125803470681146,1.6762296097215235,0.4170011933056513,-0.08300114744434911,0.7892513553309084,48.0,0.1083831787109375,scipy_auto_exact_eligible,7,11,0,participant_level_BCa,10000,20260825,20260826,20260827,10000,10000,10000
BRS_seq_up,Stim-Pre,18,6.2721321266178425,8.479619058748916,-2.207486932131074,-5.015586939466911,-1.3026368603505787,-1.2959060514150378,-2.4462484905159276,-0.6996392043333932,-0.6840172885831554,-1.2717544861396053,-0.4049346970668402,1.0,1.52587890625e-05,scipy_auto_exact_eligible,17,1,0,participant_level_BCa,10000,20261805,20261806,20261807,10000,10000,10000
BRS_seq_up,Post-Pre,18,6.671411266313748,8.479619058748916,-1.8082077924351705,-5.527883701033894,-0.4602015853689279,-1.000089185519871,-2.1753271213746848,0.3422998267574471,-0.3854331528784322,-0.6374465424772381,0.08986391888972609,46.0,0.0897674560546875,scipy_auto_exact_eligible,11,7,0,participant_level_BCa,10000,20261815,20261816,20261817,10000,10000,10000
BRS_seq_up,Post-Stim,18,6.671411266313748,6.2721321266178425,0.3992791396959039,-0.5847090108793531,1.3377166429283922,0.6086408908198835,-0.3387695901884693,1.2352253269478364,0.18835123025611938,-0.35104626940664585,0.6792834712749266,62.0,0.32472991943359375,scipy_auto_exact_eligible,8,10,0,participant_level_BCa,10000,20261825,20261826,20261827,10000,10000,10000
BRS_seq_down,Stim-Pre,15,6.920639750439566,9.211477275637252,-2.2908375251976847,-5.6261577256943465,-0.736145918575108,-0.6517427385067869,-1.9950793560425613,0.10788869696290604,-0.5210793269204751,-0.8050916623202783,-0.2527420482013579,21.0,0.02557373046875,scipy_auto_exact_eligible,11,4,0,participant_level_BCa,10000,20262805,20262806,20262807,10000,10000,10000
BRS_seq_down,Post-Pre,18,10.581264137505668,8.981105590250024,1.6001585472556448,-1.3772434540862222,4.8319740683131585,-0.38078929464541966,-1.0663012350813599,3.2196560777210443,0.23266610212382874,-0.32762439620613365,0.6375765830931496,74.0,0.6396942138671875,scipy_auto_exact_eligible,10,8,0,participant_level_BCa,10000,20262815,20262816,20262817,10000,10000,10000
BRS_seq_down,Post-Stim,15,10.229080429923028,6.920639750439566,3.30844067948346,1.0644291387715132,7.354903331035702,0.4575895201900346,-0.5669561893878599,4.149396954720397,0.5551529221755208,0.24216758362924945,0.9132210898673189,32.0,0.12054443359375,scipy_auto_exact_eligible,5,10,0,participant_level_BCa,10000,20262825,20262826,20262827,10000,10000,10000
