branch,paired_n,mean_difference,mean_difference_ci_low,mean_difference_ci_high,cohens_dz,n_negative,n_positive,n_zero,wilcoxon_p_two_sided,estimable,NA_reason
REF,18,-2.0507081874084636,-3.8125937386490705,-1.09512491343104,-0.7402088779335922,17,1,0,2.288818359375e-05,True,NA
A0_MAX,18,-0.63893412033088426,-1.4455235172833594,0.13300827357160344,-0.36398283869619674,12,6,0,0.12973785400390625,True,NA
A1_MAX,16,-1.6009671833598542,-3.3044687898657941,-0.10007468906296904,-0.47294363016520674,12,4,0,0.01824951171875,True,NA
A0_OVERLAP,18,-0.18176277157811979,-0.74033053182003072,0.62593300932320928,-0.12305819258514906,15,3,0,0.11870574951171875,True,NA
A1_OVERLAP,18,-0.41832396871546951,-1.4920336323001262,1.3033084181227668,-0.13896673275198951,11,7,0,0.2121429443359375,True,NA
