dz
1.666827
2.273048
1.979087
1.995239
2.397135
1.314021
1.685532
1.528933
1.657341
1.743950
2.067012
3.240480
1.874866
2.008942
2.593939
2.568613
1.815889
1.810945
2.086213
1.278216
2.229096
2.105425
2.004004
1.793304
1.894016
1.701245
1.965605
1.896519
2.175921
2.180147
1.609661
1.591633
2.865212
2.282259
1.736196
2.495241
1.636152
1.722535
2.189715
3.363159
1.330578
1.613536
1.978385
1.782092
1.438666
3.164593
2.540991
2.243343
2.447613
2.587032
1.745508
1.617422
2.781801
1.828348
2.136555
1.973176
3.408645
1.529951
1.805187
1.391826
1.644519
1.667760
1.777428
1.398797
1.718353
2.048989
1.627630
2.352022
1.789963
1.288325
1.682874
2.168973
1.956672
1.917933
2.211777
1.696751
1.759347
2.025011
1.903437
2.000231
1.936384
1.590924
1.686895
1.650697
1.884091
1.580255
1.994532
1.706126
1.820365
3.252848
1.883290
2.349015
2.087967
1.950517
2.081990
1.856417
1.803841
1.782485
2.450085
1.985417
2.023453
1.622661
1.786882
1.663214
2.224038
1.454078
1.956710
1.646590
1.745390
1.906672
2.092030
1.730397
1.311849
2.566487
1.547886
2.252274
1.800965
1.687880
3.222375
1.642599
1.536031
2.696939
1.759380
1.562345
1.973496
2.188324
2.127131
1.997734
2.664648
1.692512
2.504156
1.487074
1.828153
1.836968
1.814929
1.765769
1.836251
2.308650
2.307205
1.740517
1.992615
2.250587
1.829053
1.753336
3.124391
1.816753
1.294511
1.754758
1.968253
2.174761
2.250500
2.854246
1.818050
1.488036
2.061576
1.497553
2.056025
2.153950
1.526848
1.715716
1.680270
1.734641
2.398123
2.573835
1.501731
2.343486
1.691874
2.165407
3.243415
2.292660
2.975076
1.882588
2.063005
2.357367
1.828827
1.420600
1.709346
1.437058
2.703583
1.671382
1.824643
1.879913
2.287343
2.050561
2.533524
1.776188
2.529342
1.500854
2.542677
2.036444
1.755777
1.926096
1.988527
1.607213
2.177032
1.795263
1.829002
2.014546
2.370310
2.457268
1.971379
1.957398
2.143228
2.156107
2.211776
1.186603
2.214861
1.923885
2.331318
2.351079
1.874878
1.876966
1.617527
2.115700
2.526214
1.867122
2.303701
1.741311
1.731865
3.002750
1.869510
2.006084
2.027767
1.780595
1.393826
1.962317
2.184430
1.988880
1.734013
1.591634
2.317276
2.130376
1.661720
1.358847
1.274016
1.648368
1.866517
1.549745
2.299450
1.963037
2.138739
3.038358
1.779538
2.259710
2.089868
1.727790
1.425295
1.661002
1.505078
2.370752
2.834646
2.509382
1.814010
2.147757
1.401821
1.859324
2.454280
1.331648
